stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station,wheelchair_boarding,stop_direction,clust,max_distance,quant
F02909,Miskolci utca,47.532177,19.110421,,,F02911,1.0,-153.0,1740,42.501854786553224,2
F02858,Öv utca,47.534721,19.112695,,,F02858,1.0,-146.0,1741,96.83929362919054,4
F02857,Öv utca,47.534721,19.112695,,,F02858,1.0,31.0,1741,96.83929362919054,4
F02855,Szuglói körvasút sor,47.534721,19.112695,,,F02858,1.0,30.0,1741,96.83929362919054,4
F02859,Öv utca,47.534721,19.112695,,,F02858,1.0,118.0,1741,96.83929362919054,4
F02916,Róna utca,47.512197,19.116159,,,F02916,1.0,45.0,1742,67.04369529707924,2
F02915,Róna utca,47.512197,19.116159,,,F02916,1.0,-130.0,1742,67.04369529707924,2
F02795,Egressy tér,47.515317,19.119097,,,F02795,1.0,-46.0,1743,73.74473186943273,2
F02796,Egressy tér,47.515317,19.119097,,,F02795,1.0,129.0,1743,73.74473186943273,2
F02794,Egressy tér,47.514317,19.12061,,,F02794,1.0,126.0,1744,115.90521342694929,4
F02799,Egressy tér,47.514317,19.12061,,,F02794,1.0,45.0,1744,115.90521342694929,4
F02797,Egressy tér,47.514317,19.12061,,,F02794,1.0,-24.0,1744,115.90521342694929,4
F02798,Egressy tér,47.514317,19.12061,,,F02794,1.0,-133.0,1744,115.90521342694929,4
F02819,Szugló utca / Róna utca,47.514206,19.111038,,,F02819,1.0,129.0,1745,34.2156554178438,2
F02820,Szugló utca / Róna utca,47.514206,19.111038,,,F02819,1.0,-43.0,1745,34.2156554178438,2
F02824,Tisza István tér,47.516951,19.108478,,,F02824,1.0,46.0,1746,121.05571149236421,4
F02823,Tisza István tér,47.516951,19.108478,,,F02824,1.0,-127.0,1746,121.05571149236421,4
F02821,Tisza István tér,47.516951,19.108478,,,F02824,1.0,140.0,1746,121.05571149236421,4
008458,Tisza István tér,47.516951,19.108478,,,F02824,1.0,-42.0,1746,121.05571149236421,4
F02814,Szugló utca / Nagy Lajos király útja,47.51736,19.115688,,,F02814,1.0,125.0,1747,99.90528352691635,6
F02815,Szugló utca / Nagy Lajos király útja,47.51736,19.115688,,,F02814,1.0,129.0,1747,99.90528352691635,6
F02816,Szugló utca / Nagy Lajos király útja,47.51736,19.115688,,,F02814,1.0,42.0,1747,99.90528352691635,6
F02813,Szugló utca / Nagy Lajos király útja,47.51736,19.115688,,,F02814,1.0,-132.0,1747,99.90528352691635,6
F02817,Szugló utca / Nagy Lajos király útja,47.51736,19.115688,,,F02814,1.0,-44.0,1747,99.90528352691635,6
F02818,Szugló utca / Nagy Lajos király útja,47.51736,19.115688,,,F02814,1.0,-43.0,1747,99.90528352691635,6
F02830,Bosnyák tér,47.519476,19.111336,,,F02830,1.0,113.0,1748,107.24973961930125,4
F02837,Bosnyák tér,47.519476,19.111336,,,F02830,1.0,-47.0,1748,107.24973961930125,4
F02831,Bosnyák tér,47.519476,19.111336,,,F02830,1.0,124.0,1748,107.24973961930125,4
F02834,Bosnyák tér,47.519476,19.111336,,,F02830,1.0,44.0,1748,107.24973961930125,4
F02829,Bosnyák tér,47.519782,19.112319,,,F02829,1.0,-135.0,1749,117.57534543096638,5
F02832,Bosnyák tér,47.519782,19.112319,,,F02829,1.0,-41.0,1749,117.57534543096638,5
F02835,Bosnyák tér,47.519782,19.112319,,,F02829,1.0,38.0,1749,117.57534543096638,5
F02834,Bosnyák tér,47.519782,19.112319,,,F02829,1.0,124.0,1749,117.57534543096638,5
009645,Zugló kocsiszín (kapu),47.519782,19.112319,,,F02829,,,1749,117.57534543096638,5
F02827,Bosnyák tér,47.520258,19.11293,,,F02827,1.0,,1750,93.5116051932985,5
F02828,Bosnyák tér,47.520258,19.11293,,,F02827,1.0,,1750,93.5116051932985,5
F02836,Bosnyák tér,47.520258,19.11293,,,F02827,1.0,,1750,93.5116051932985,5
F02840,Bosnyák tér,47.520258,19.11293,,,F02827,1.0,,1750,93.5116051932985,5
F02826,Bosnyák tér,47.520258,19.11293,,,F02827,1.0,,1750,93.5116051932985,5
F02809,Szugló utca / Cinkotai út,47.526716,19.127133,,,F02809,1.0,35.0,1752,33.5564113092728,2
F02810,Szugló utca / Cinkotai út,47.526716,19.127133,,,F02809,1.0,-61.0,1752,33.5564113092728,2
F02806,Rákosmezei tér,47.524158,19.132719,,,F02806,1.0,-137.0,1753,90.05305249257464,2
F02807,Rákosmezei tér,47.524158,19.132719,,,F02806,1.0,-136.0,1753,90.05305249257464,2
F02851,Öv utca,47.530473,19.121512,,,F02851,2.0,36.0,1755,21.004184400110628,2
F02850,Telepes utca,47.530473,19.121512,,,F02851,2.0,-143.0,1755,21.004184400110628,2
F02848,Cinkotai út,47.528472,19.123842,,,F02848,1.0,46.0,1756,32.61294793633928,2
F02849,Cinkotai út,47.528472,19.123842,,,F02848,1.0,-135.0,1756,32.61294793633928,2
F02942,Miskolci utca / Szugló utca,47.524739,19.124833,,,F02942,1.0,37.0,1757,28.869417137787632,2
F02941,Miskolci utca / Szugló utca,47.524739,19.124833,,,F02942,1.0,-140.0,1757,28.869417137787632,2
F02847,Miskolci utca / Csömöri út,47.525992,19.12028,,,F02847,1.0,-140.0,1758,70.03634578135546,2
108430,"Csömöri út,MOL töltőállomás",47.525992,19.12028,,,F02847,,,1758,70.03634578135546,2
F02852,Fűrész utca,47.522938,19.113451,,,F02852,2.0,116.0,1760,82.56068085698129,3
