stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,walk_area,area_difference,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,gini_house_walk15,gini_house_multimodal,walk15_mean_price,multimodal_mean_price,gini_walk15,gini_multimodal,arpu_low_ratio_walk15,arpu_low_ratio_multimodal
F03394,8.611,0.6533,62,6.896,11.284,9.145,4,12,30,7,56,11,25,22,26,2,3,7,3,12,1,10,7,10,3.19,5.421000000000001,Csinszka utca,47.515626,19.206694,37,0.0014714773490132,0.0014756517461878,0.0572337490498578,0.0168182801383891,0.1653,0.1744,0.448,0.43,0.123211,0.133486,0.281024,0.276349
F03395,6.835,0.6573,49,6.803,11.245,9.106,3,7,19,5,37,6,19,17,19,2,3,7,3,10,1,10,7,11,3.202,3.633,Csinszka utca,47.515347,19.206268,37,0.0014714773490132,0.0014756517461878,0.0572337490498578,0.0168182801383891,0.1699,0.1913,0.467,0.4,0.123948,0.131908,0.280611,0.263379
F03396,9.096,0.5932,73,6.717,10.741,8.604,3,10,21,6,41,9,21,22,20,2,5,10,4,16,3,13,7,16,3.211,5.885,"Mátyásföld, Imre utca H",47.513449,19.200089,38,0.0058229320217952,0.0014756517461878,0.060235252288821,0.0194762420194674,0.1722,0.1824,0.459,0.448,0.134031,0.132413,0.316503,0.259764
F03397,9.687,0.6972,72,6.858,10.786,8.648,5,13,30,7,67,12,26,27,25,2,4,8,5,15,3,12,8,15,3.177,6.51,"Mátyásföld, Imre utca H",47.513745,19.200581,38,0.0058229320217952,0.0014756517461878,0.060235252288821,0.0194762420194674,0.1754,0.1744,0.461,0.43,0.139614,0.128327,0.314199,0.288732
F03398,6.13,0.5889,45,3.754,12.74,10.598,3,6,18,5,33,6,17,17,19,1,1,5,1,9,5,3,6,2,2.949,3.181,Műkő utca,47.522796,19.223777,27,7.091524543116783e-05,0.0009837678307919,0.051751349149781,0.0033267457707963,0.2043,0.1913,0.385,0.4,0.142589,0.134254,0.198129,0.264321
F03399,5.402,0.8182,41,3.94,11.407,9.294,3,5,12,5,23,3,11,9,17,2,2,8,4,12,1,8,6,4,3.08,2.322,Nebántsvirág utca,47.505996,19.211401,35,3.64359731539362e-05,0.0009837678307919,0.0516606103727797,0.0013960268391373,0.166,0.1885,0.466,0.455,0.11878,0.126693,0.257939,0.242416
F03400,6.722,0.59,54,4.926,11.387,9.272,3,10,17,6,29,6,18,17,20,2,2,8,4,11,1,8,6,5,3.006,3.7160000000000006,Petőfi tér,47.506482,19.211007,35,3.64359731539362e-05,0.0009837678307919,0.0516606103727797,0.0013960268391373,0.1707,0.1788,0.468,0.456,0.118913,0.124108,0.255914,0.268835
F03401,6.004,0.8333,41,3.351,11.581,9.483,4,9,16,6,27,8,14,11,16,1,0,4,1,4,0,3,2,1,2.693,3.3109999999999995,Zsemlékes út,47.502798,19.21442,33,7.475076265652074e-06,0.0009837678307919,0.0494046172539489,0.0006054087328637,0.1457,0.1885,0.433,0.455,0.12988,0.123171,0.231023,0.250843
F03402,6.935,0.6813,51,5.439,11.584,9.484,3,9,15,5,29,3,18,18,19,1,0,4,1,5,0,3,3,1,2.819,4.116,Zsemlékes út,47.503122,19.214395,33,7.475076265652074e-06,0.0009837678307919,0.0494046172539489,0.0006054087328637,0.1489,0.1813,0.459,0.458,0.127021,0.125486,0.239311,0.258743
F03403,5.402,0.8182,41,3.94,12.278,10.212,3,5,12,5,23,3,11,9,17,0,0,1,0,1,0,0,0,0,1.971,3.431,EGIS Gyógyszergyár,47.497081,19.224542,73,2.382743641728805e-06,0.0009837678307919,0.0485945119036236,0.000416061183442,0.0968,0.1885,0.35,0.455,0.160041,0.126693,0.166454,0.242416
F03404,5.698,0.7649,41,4.129,12.373,10.311,5,7,10,5,19,6,15,11,7,0,0,1,0,1,0,0,0,0,2.068,3.63,EGIS Gyógyszergyár,47.496377,19.225878,73,2.382743641728805e-06,0.0009837678307919,0.0485945119036236,0.000416061183442,0.1029,0.1885,0.35,0.455,0.163209,0.117597,0.136451,0.235107
F03405,2.485,0.7816,20,0.597,13.929,11.788,1,2,6,2,10,4,6,9,4,0,0,2,0,0,2,1,0,0,1.857,0.6279999999999999,Cinkotai köztemető,47.530799,19.236539,14,3.08819583553234e-06,0.0009837678307919,0.0469103327333979,0.0009837678307919,0.2269,0.1422,0.393,0.417,0.111197,0.131514,0.123864,0.272886
F03406,5.063,0.6415,41,2.225,13.875,11.733,2,4,15,3,29,6,7,14,17,0,0,2,0,0,2,1,0,0,1.876,3.187,Cinkotai köztemető,47.530593,19.235875,14,3.08819583553234e-06,0.0009837678307919,0.0469103327333979,0.0009837678307919,0.2151,0.1919,0.401,0.384,0.11104,0.14166,0.124921,0.249005
F03407,6.209,0.3955,47,2.394,10.185,8.044,1,11,26,3,58,4,15,17,22,2,5,16,5,39,3,11,10,15,3.219,2.99,Gida utca,47.514557,19.191994,63,0.0054689274038034,0.0009837678307919,0.0601230259655763,0.0070749843237407,0.1673,0.1769,0.452,0.441,0.138448,0.133045,0.341805,0.292642
F03408,8.341,0.4889,63,3.845,10.148,8.007,2,12,27,6,64,6,21,20,18,1,5,15,5,37,2,10,8,15,3.208,5.132999999999999,Gida utca,47.515025,19.191292,63,0.0054689274038034,0.0009837678307919,0.0601230259655763,0.0070749843237407,0.1754,0.1703,0.446,0.446,0.138262,0.12167,0.343021,0.308262
F03427,7.885,0.6059,60,5.918,11.143,9.525,2,9,14,2,34,9,19,21,13,0,0,2,0,3,0,1,2,0,3.197,4.688,Frangepán utca,47.456343,19.201531,949,0.0001055932183766,0.0009837678307919,0.0645847893767075,0.0075521841185545,0.1393,0.1766,0.426,0.41,0.143375,0.14181,0.225637,0.318237
F03432,5.833,0.7695,43,2.602,13.114,11.473,2,3,9,3,17,7,9,16,3,0,0,1,0,0,0,0,0,0,1.947,3.886,Baross utca,47.451072,19.226497,946,8.53767480879674e-07,0.0009837678307919,0.0546417244530452,0.004776743650064,0.1977,0.152,0.304,0.398,0.109857,0.131697,0.090529,0.251187
F03433,4.361,0.7811,42,1.395,18.115,16.083,0,6,12,4,17,6,9,6,17,0,0,1,0,3,1,0,1,0,2.417,1.944,Ebergény utca,47.490901,19.302376,118,1.1710756066182451e-08,0.0014756517461878,0.0407758032813189,0.002616929824699,0.2026,0.1845,0.367,0.419,0.109371,0.120407,0.068255,0.216196
F03434,2.326,0.8412,25,0.361,18.186,16.155,0,0,1,0,5,4,1,3,1,0,0,1,0,1,1,0,1,0,2.414,-0.088,Ebergény utca,47.49071,19.303317,118,1.1710756066182451e-08,0.0014756517461878,0.0407758032813189,0.002616929824699,0.2026,0.0986,0.367,0.272,0.109536,0.107572,0.066412,0.133073
F03435,5.404,0.7431,51,1.991,17.731,15.696,1,6,12,7,22,7,12,9,17,0,0,1,0,4,2,0,1,0,2.156,3.248,Pöröly utca,47.49146,19.29727,119,5.4953152943687776e-08,0.0009837678307919,0.0424993728572623,0.0035924673143867,0.2126,0.1845,0.35,0.419,0.112837,0.124853,0.1046,0.224347
F03436,2.893,0.8608,31,0.782,17.738,15.704,0,0,1,0,5,4,1,3,1,0,0,1,0,4,2,0,1,0,2.198,0.6949999999999998,Pöröly utca,47.491343,19.297362,119,5.4953152943687776e-08,0.0009837678307919,0.0424993728572623,0.0035924673143867,0.2126,0.0986,0.35,0.272,0.112932,0.106487,0.104392,0.130935
F03437,4.34,0.9132,30,0.894,16.008,14.079,1,12,23,11,31,4,24,17,25,0,1,4,1,6,1,5,1,5,2.837,1.5029999999999997,Sági utca,47.473827,19.273136,190,1.1461480806426654e-05,0.0009837678307919,0.0507387441349705,0.0143533840580552,0.1721,0.1698,0.408,0.31,0.109621,0.128578,0.14056,0.289183
F03438,5.514,0.7607,38,2.844,16.057,14.131,1,11,20,11,26,6,21,14,24,0,1,4,0,6,1,5,1,5,2.641,2.873,Sági utca,47.473502,19.273745,190,1.1461480806426654e-05,0.0009837678307919,0.0507387441349705,0.0143533840580552,0.1714,0.1781,0.411,0.372,0.109074,0.131443,0.134596,0.262072
F03439,6.889,0.6128,67,2.548,17.159,15.134,1,8,15,8,27,7,21,15,20,0,0,3,0,4,3,2,2,0,2.794,4.095000000000001,Czeglédi Mihály utca,47.489453,19.289697,125,2.7366663651238337e-07,0.0014756517461878,0.0443750818527087,0.0045813831428498,0.2022,0.1852,0.347,0.35,0.106654,0.12648,0.132768,0.233577
F03440,3.833,0.7594,39,0.933,17.241,15.215,0,0,6,0,8,5,2,3,1,0,0,2,0,4,3,1,2,0,2.122,1.7110000000000003,Czeglédi Mihály utca,47.489837,19.290787,125,2.7366663651238337e-07,0.0014756517461878,0.0443750818527087,0.0045813831428498,0.2115,0.1845,0.35,0.419,0.108799,0.121894,0.129999,0.158221
F03441,6.545,0.6421,58,3.309,16.566,14.534,2,3,13,2,15,9,7,7,0,0,0,5,1,6,3,4,5,0,3.218,3.327,Rákoscsaba vasútállomás,47.491088,19.281822,116,3.7195816299706377e-07,0.0019675356615838,0.0445003830578964,0.0040471237794033,0.1748,0.1822,0.315,0.356,0.131683,0.130684,0.199847,0.19136
F03442,6.824,0.6638,64,3.745,16.573,14.537,2,3,13,2,15,9,7,8,0,0,1,6,1,6,3,4,4,0,3.273,3.551,Rákoscsaba vasútállomás,47.491708,19.281891,116,3.7195816299706377e-07,0.0019675356615838,0.0445003830578964,0.0040471237794033,0.1798,0.1822,0.329,0.356,0.131834,0.130683,0.203931,0.190303
F03443,4.532,0.6503,42,1.541,16.289,14.244,2,3,9,2,13,6,6,8,0,0,1,6,1,6,1,3,4,0,3.142,1.39,Aranykút utca,47.493839,19.278065,111,1.0261130654583155e-07,0.0009837678307919,0.0427334258208265,0.0002932967330313,0.1742,0.1837,0.341,0.355,0.129536,0.126166,0.212159,0.209825
F03445,3.466,0.8395,37,0.561,18.335,16.304,0,0,3,0,5,4,2,3,1,0,0,1,0,1,1,0,1,0,2.299,1.1670000000000005,Színes utca,47.490669,19.305294,117,2.3418920940949862e-09,0.0009837678307919,0.0391805427073697,0.0009837678307919,0.2083,0.1845,0.374,0.419,0.108305,0.109628,0.056345,0.14582
F03446,8.079,0.3761,62,3.435,14.874,12.854,3,14,25,10,36,13,27,25,23,2,9,5,5,10,5,10,6,11,3.154,4.925000000000001,Hősök tere,47.48917,19.259374,170,5.010548643855024e-05,0.0009837678307919,0.0536029741345215,0.0001876598461345,0.1837,0.1627,0.496,0.447,0.11621,0.123398,0.239827,0.251253
F03447,7.381,0.6167,69,4.456,14.902,12.876,3,11,20,9,28,7,18,17,19,2,7,4,3,9,5,8,6,6,3.078,4.303000000000001,Hősök tere,47.490033,19.259736,170,5.010548643855024e-05,0.0009837678307919,0.0536029741345215,0.0001876598461345,0.1915,0.1972,0.473,0.426,0.115695,0.12355,0.234665,0.244579
F03448,6.273,0.6422,56,2.979,16.209,14.187,2,3,12,2,16,10,7,8,1,0,1,5,1,6,1,3,4,1,2.755,3.518,Tura utca,47.489182,19.277089,115,9.94033530296058e-07,0.0009837678307919,0.0464706958032367,0.0028720998385322,0.1824,0.1822,0.332,0.356,0.134406,0.1308,0.24478,0.198543
F03449,7.447,0.6793,57,5.408,13.475,11.421,5,13,17,12,34,7,22,22,24,0,0,0,0,4,0,1,1,0,2.836,4.611000000000001,Vidor utca,47.495319,19.240607,70,0.0001071223544097,0.0014756517461878,0.0564252012212045,0.0055872701904215,0.1745,0.1885,0.333,0.455,0.050768,0.11939,0.032645,0.256425
F03450,8.639,0.5383,63,5.054,13.48,11.428,4,12,23,11,36,8,29,26,21,0,0,0,0,4,0,1,2,0,2.931,5.707999999999999,Vidor utca,47.494842,19.240698,70,0.0001071223544097,0.0014756517461878,0.0564252012212045,0.0055872701904215,0.1745,0.1897,0.333,0.452,0.067855,0.121023,0.04702,0.249225
F03451,5.922,0.6478,46,2.769,13.671,11.639,5,12,14,12,30,7,21,17,22,1,1,1,1,7,2,3,3,0,2.91,3.012,Cinkotai út,47.491456,19.243393,165,0.0004244837931192,0.0024594195769798,0.0595401962219944,0.0172566839130608,0.1552,0.1882,0.363,0.454,0.105599,0.1199,0.139691,0.264165
F03452,7.951,0.4183,57,4.042,13.642,11.612,3,14,25,9,35,10,24,20,24,0,2,1,0,4,0,4,3,0,1.537,6.414,Gyöngytyúk utca,47.491034,19.243007,165,0.0004244837931192,0.0024594195769798,0.0595401962219944,0.0172566839130608,0.1634,0.1897,0.376,0.452,0.117235,0.122112,0.203361,0.241775
F03453,6.648,0.6181,50,4.863,13.653,11.623,5,12,15,12,34,7,22,22,23,1,2,1,1,6,2,4,3,0,3.035,3.613,Gyöngytyúk utca,47.491025,19.243153,165,0.0004244837931192,0.0024594195769798,0.0595401962219944,0.0172566839130608,0.1565,0.1882,0.376,0.454,0.111502,0.119709,0.157932,0.255915
F03454,6.763,0.4138,46,4.516,13.672,11.678,2,14,22,9,32,13,28,22,25,1,5,10,4,22,3,10,11,10,2.954,3.809,Rétsár utca,47.485502,19.243318,167,0.0017318804241795,0.0009837678307919,0.0628749922682006,0.0168588779904837,0.156,0.1916,0.488,0.448,0.123102,0.123667,0.263808,0.253467
F03455,5.746,0.5406,43,3.686,13.688,11.692,3,12,17,9,31,8,19,22,20,1,4,10,4,21,3,8,11,8,2.902,2.8440000000000003,Rétsár utca,47.485718,19.243545,167,0.0017318804241795,0.0009837678307919,0.0628749922682006,0.0168588779904837,0.156,0.19,0.488,0.453,0.123418,0.123126,0.267125,0.266689
F03456,5.01,0.4709,38,2.101,14.127,12.119,3,10,13,9,25,7,14,16,16,2,3,3,1,7,5,5,5,0,2.359,2.651,Liszt Ferenc utca,47.487308,19.249429,166,0.0001466386473911,0.0014756517461878,0.0564581076952983,0.0012932347588522,0.1518,0.1367,0.368,0.475,0.113545,0.117311,0.185944,0.246518
