stop_id,weighted_med_inc_multi,weighted_med_inc_walk,percent_change_income,log_change_income,weighted_gini_multi,weighted_gini_walk,percent_change_gini,log_change_gini,weighted_hh_low_multi,weighted_hh_mid_multi,weighted_hh_high_multi,entropy_multi,weighted_hh_low_walk,weighted_hh_mid_walk,weighted_hh_high_walk,entropy_walk,percent_change_entropy,log_change_entropy,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,walk_area,area_difference,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,cluster,stop_lat,stop_lon,stop_name
1010125,40706.34749383939,47176.397746551556,-13.714591536792579,-0.14750968141544699,0.3250672546018927,0.31077492687179287,4.598932054771576,0.044963155789191814,1497.8093302013506,3131.859597406014,1857.4737167452636,1.5120693842334534,1127.7109275514915,2572.0787662396356,2031.655085751932,1.510636332523686,0.09486410983994421,0.0009481914227973423,6.2,0.6427,127,2.486,2.992,6.992,95,19,66,3,182,30,726,55,314,47,15,33,0,58,13,446,14,140,3.092,3.108,0.051918717246279,0.0042881646655231,0.106449563075461,0.0064469668407563,1024,60.17407,24.95208,Snellmaninkatu
1010128,43628.20362133208,47814.570172586966,-8.755420233088302,-0.09162659510439572,0.31793504382196625,0.30977025604658315,2.635755891990895,0.026016184009884945,1266.8305464957023,2703.5412468460286,1679.1283871373118,1.5127343059207519,1024.0062352213793,2394.963083533624,1947.581060498794,1.5061495237306852,0.4371931263342527,0.004362402135556092,4.425,0.4366,74,1.288,3.087,6.921,69,16,52,2,105,23,562,34,205,37,13,31,0,42,8,352,11,100,2.622,1.803,0.0153048147400504,0.0025728987993138,0.0967449363526544,0.0045105048876312,1054,60.17397,24.9562,Liisankatu
1010180,50305.17036625077,50527.4061709425,-0.43983220500151676,-0.004408023124526842,0.3038687740110051,0.3023756786457485,0.49378818162351434,0.004925730462701069,571.3344885735194,1290.5982454441146,1461.7087301161587,1.4878226800308387,565.0342563496987,1391.843776425178,1520.6270582171453,1.476551639088414,0.7633353716896264,0.007604367089081758,2.021,0.0789,27,0.4,3.667,7.588,29,7,13,2,51,15,282,24,133,67,14,26,3,57,25,494,23,219,3.175,-1.154,0.0009318871977544,0.0017152658662092,0.0846447720375679,0.0,1049,60.168,24.95403,Kauppatori
1010419,45171.37855424592,50386.26306300373,-10.349814000369584,-0.10925491120814339,0.3141769242308165,0.30293619013837336,3.7105946593269907,0.03643409046392417,1177.9969153606148,2609.3202755447132,1942.4303934274892,1.5150358414327445,639.99113527601,1547.2038629927354,1573.3611816011735,1.4879010487654298,1.8236960508784823,0.01807266167876271,6.075,0.5864,121,3.922,3.432,7.373,96,20,67,4,190,37,773,53,398,62,13,22,2,51,16,461,18,159,3.001,3.0740000000000003,0.0041688784623162,0.0025728987993138,0.094096965789273,0.0010825621937152,1051,60.17014,24.953501,Hallituskatu
1010420,41345.3174687959,50324.11810057549,-17.841943327918763,-0.1965252736163507,0.3234009613473558,0.30306929058830584,6.7085882306263835,0.06493145858966037,1439.7596707607624,2999.4298492896373,1766.6343913271526,1.5119924271813951,652.35590670294,1571.22913442547,1575.192820177288,1.4899133319927376,1.481904666167871,0.014710317449078266,6.184,0.625,127,4.459,3.409,7.349,87,20,65,4,181,30,708,54,310,60,14,22,2,55,15,448,17,151,3.007,3.177,0.0041688784623162,0.0025728987993138,0.094096965789273,0.0010825621937152,1051,60.17036,24.95353,Hallituskatu
1010421,40983.25443856348,49508.41467878839,-17.219618716406735,-0.18897909369124055,0.3245546040484136,0.30516510047782003,6.353774904218712,0.061600850131356424,1466.6911778177687,3095.6832134554147,1899.485570409175,1.513436678580394,796.834685395313,1871.315666406679,1671.1126456179604,1.5024463541549915,0.7314952973202026,0.007288328463885002,7.648,0.6446,151,5.683,3.216,7.165,105,22,77,4,255,36,810,60,369,45,13,29,1,45,12,410,12,117,2.77,4.878,0.0098900272958708,0.0017152658662092,0.0965199294402967,0.0015086269624577,1053,60.17216,24.95335,Kansallisarkisto
1010422,44364.433360490046,49723.78194901942,-10.778240066341265,-0.11404523070737493,0.3165739320646773,0.3046300538617666,3.9207813055538296,0.038458704682728266,1234.831399647832,2677.920139453342,1858.5075404424779,1.5164245488767771,765.3805234233906,1804.8454300721157,1650.555389374128,1.5004774593471073,1.062801005795101,0.010571929757118877,5.888,0.536,114,2.31,3.249,7.201,101,20,67,5,163,39,748,50,353,51,13,28,1,44,12,416,10,115,2.842,3.046,0.0098900272958708,0.0017152658662092,0.0965199294402967,0.0015086269624577,1053,60.17183,24.95326,Kansallisarkisto
1010424,45978.02040340162,51082.50394527523,-9.992625943595193,-0.10527858505417644,0.312366518881693,0.30111902604324087,3.7352315415755113,0.03667161640325535,1043.6748914520488,2311.06244833133,1818.1861374802706,1.5154481083226694,529.5872641588581,1327.3058450563612,1426.6294943707762,1.475304516417697,2.7210376880325846,0.02684675600565468,6.063,0.4796,136,2.288,3.584,7.429,101,22,68,6,159,46,829,56,472,54,12,19,2,48,16,398,16,129,2.779,3.284,0.0040281014572849,0.006861063464837,0.0923177429515954,0.0168499074769798,1052,60.16915,24.95611,Ritarihuone
1010425,49654.71096924225,50973.04397158155,-2.58633367682396,-0.02620367385607269,0.30448456779160926,0.30138303337475464,1.029100537653034,0.010238413488559245,728.9037342984764,1757.300593265385,1697.2776498933815,1.4928851788388244,538.5235342737898,1343.4386093823152,1447.635977342868,1.4758707089798162,1.152842844260345,0.011462482463148887,3.769,0.6032,62,0.621,3.577,7.442,70,15,42,2,79,22,539,25,208,56,12,20,2,48,15,412,17,140,2.849,0.92,0.0040281014572849,0.006861063464837,0.0923177429515954,0.0168499074769798,1052,60.16912,24.95556,Ritarihuone
1010427,40634.981485332086,47176.397746551556,-13.865866351988748,-0.14926441121184278,0.3255177735046379,0.31077492687179287,4.743898351531765,0.046348121490198665,1426.2581214115444,3041.9927959065076,1871.062020402009,1.5121192830838153,1127.7109275514915,2572.0787662396356,2031.655085751932,1.510636332523686,0.09816727747119822,0.0009811912491017108,9.825,0.6799,203,12.736,2.992,6.992,115,26,99,4,319,41,899,74,437,47,15,33,0,58,13,446,14,140,3.092,6.732999999999999,0.051918717246279,0.0042881646655231,0.106449563075461,0.0064469668407563,1024,60.17407,24.95208,Snellmaninkatu
1010428,43071.846648089086,47439.158986632574,-9.206133565255891,-0.09657845294061514,0.3192276247948975,0.3102225227903056,2.9027879483395567,0.02861455024911598,1314.9785412396013,2793.7448110245714,1755.2764494669625,1.5141782926733898,1094.316613309279,2500.878115388941,2007.6106820582625,1.5101822833087843,0.26460443939590084,0.0026425497817336905,5.355,0.593,116,1.83,3.004,6.993,84,19,63,2,150,30,697,45,292,48,15,33,0,56,13,448,14,142,3.038,2.3170000000000006,0.051918717246279,0.0042881646655231,0.106449563075461,0.0064469668407563,1024,60.17401,24.95236,Snellmaninkatu
1020100,43080.28210563797,47869.384238848346,-10.004520027487187,-0.10541073944665505,0.31964069923472366,0.3095112683679076,3.272717959585071,0.03220305031455664,1165.1744479028737,2601.2015562098245,1813.3159554287172,1.5121279041071043,1006.9457563818653,2316.517874951867,2169.6333495545464,1.503324434246601,0.585600131279393,0.005838921583944362,12.545,0.4473,248,11.091,3.085,7.39,143,32,124,14,357,70,1144,100,621,78,17,36,3,67,28,605,22,290,3.516,9.029,0.1998011606944754,0.0111492281303602,0.1254050756023885,0.2769937654403351,1064,60.172063,24.943339,Rautatientori
