Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality,stop_id,clust,stop_lat,stop_lon,stop_name
1.0,0.000275876205969163,0.0004424778761061947,0.12129669386002576,0.0,044369,1,47.175605,18.941796,Ráckeve
2.0,0.0020860197663692204,0.001327433628318584,0.1380321260611983,0.002170795559616155,CSF04632,2,47.227924,18.946067,Szigetszentmárton-Szigetújfalu
6.0,0.0003552709858351556,0.001327433628318584,0.12166890982503364,0.0004289265884343483,009749,6,47.270708,18.956638,Szigetcsép H
6.0,0.0003552709858351556,0.001327433628318584,0.12166890982503364,0.0004289265884343483,CSF04627,6,47.270231,18.956263,Szigetcsép
2127.0,0.015143702828164487,0.00752212389380531,0.16002265807547972,0.053752632259577,008155,2127,47.468737,19.072756,Közvágóhíd H
2127.0,0.015143702828164487,0.00752212389380531,0.16002265807547972,0.053752632259577,008265,2127,47.468737,19.073486,Közvágóhíd H
2127.0,0.015143702828164487,0.00752212389380531,0.16002265807547972,0.053752632259577,008272,2127,47.466285,19.07717,Közvágóhíd
2127.0,0.015143702828164487,0.00752212389380531,0.16002265807547972,0.053752632259577,009290,2127,47.466702,19.076032,Közvágóhíd H
2127.0,0.015143702828164487,0.00752212389380531,0.16002265807547972,0.053752632259577,CS009703,2127,47.467693,19.076536,Közvágóhíd
2127.0,0.015143702828164487,0.00752212389380531,0.16002265807547972,0.053752632259577,F01401,2127,47.467504,19.075899,Közvágóhíd H
2127.0,0.015143702828164487,0.00752212389380531,0.16002265807547972,0.053752632259577,F01403,2127,47.467873,19.07574,Közvágóhíd H
2127.0,0.015143702828164487,0.00752212389380531,0.16002265807547972,0.053752632259577,F01407,2127,47.466218,19.076257,Közvágóhíd H (Kvassay Jenő út)
5.0,0.00011162076528359853,0.0008849557522123894,0.10884746905553147,0.0,008809,5,47.264682,18.970417,"Szigetcsép, községháza"
5.0,0.00011162076528359853,0.0008849557522123894,0.10884746905553147,0.0,008811,5,47.264926,18.970734,"Szigetcsép, községháza"
10.0,0.0004885552460132141,0.0017699115044247787,0.12211595612470957,0.0018262781503892364,009755,10,47.313733,18.974114,Tököl H
10.0,0.0004885552460132141,0.0017699115044247787,0.12211595612470957,0.0018262781503892364,CSF04623,10,47.313402,18.974231,Tököl
7.0,1.4861060937656966e-05,0.0008849557522123894,0.09825659753923742,1.1903163544386275e-05,CSF04619,7,47.330041,18.993868,Szigethalom
8.0,4.573480128890029e-05,0.001327433628318584,0.10833612961986482,0.0004310550787340474,CSF04618,8,47.33372,19.004259,Szigetszentmiklós-Gyártelep
9.0,6.65938290885709e-05,0.0008849557522123894,0.10887368725310724,0.00046632616593062946,CSF04621,9,47.321368,18.983529,Szigethalom alsó
1596.0,0.00028690294691028506,0.001327433628318584,0.12142703632065334,0.002186060028394005,CSF04613,1596,47.337095,19.034336,József Attila-telep
1598.0,4.39981644426339e-05,0.0008849557522123894,0.10831016965398256,0.0,CSF04615,1598,47.336444,19.019615,Szigetszentmiklós alsó
11.0,0.0012826934455361704,0.0008849557522123894,0.12301997713788035,0.011664396506493835,009019,11,47.598734,19.355678,"Gödöllő, Palotakert H"
11.0,0.0012826934455361704,0.0008849557522123894,0.12301997713788035,0.011664396506493835,009020,11,47.598679,19.356116,"Gödöllő, Palotakert H"
11.0,0.0012826934455361704,0.0008849557522123894,0.12301997713788035,0.011664396506493835,CSF04676,11,47.598489,19.356648,"Gödöllő, Palotakert"
12.0,0.009534479888549989,0.0008849557522123894,0.13998141839578818,0.012536424618235672,009021,12,47.592368,19.358154,Gödöllő H
12.0,0.009534479888549989,0.0008849557522123894,0.13998141839578818,0.012536424618235672,F04679,12,47.593341,19.357787,Gödöllő
15.0,0.00017269934833902172,0.0008849557522123894,0.10972471719182406,0.010792368394752007,009016,15,47.599126,19.346731,"Gödöllő, Szökőkút"
15.0,0.00017269934833902172,0.0008849557522123894,0.10972471719182406,0.010792368394752007,009017,15,47.599243,19.346771,"Gödöllő, Szabadság tér H"
15.0,0.00017269934833902172,0.0008849557522123894,0.10972471719182406,0.010792368394752007,009018,15,47.59805,19.349038,"Gödöllő, Szabadság tér H"
15.0,0.00017269934833902172,0.0008849557522123894,0.10972471719182406,0.010792368394752007,CSF04675,15,47.597666,19.347925,"Gödöllő, Szabadság tér"
13.0,2.429015389981806e-05,0.0017699115044247787,0.09905329593267882,0.009931527001056767,009759,13,47.595831,19.341021,"Gödöllő, Erzsébet park H"
13.0,2.429015389981806e-05,0.0017699115044247787,0.09905329593267882,0.009931527001056767,009760,13,47.595615,19.341192,"Gödöllő, Erzsébet park H"
13.0,2.429015389981806e-05,0.0017699115044247787,0.09905329593267882,0.009931527001056767,CSF04672,13,47.595072,19.34077,"Gödöllő, Erzsébet park"
16.0,3.407844421267272e-06,0.001327433628318584,0.09015837555351658,0.002055996098667615,CSF04670,16,47.597338,19.290352,Szentjakab
18.0,3.854787877640482e-06,0.001327433628318584,0.09028804282689465,0.001032793689069544,009014,18,47.592911,19.284773,EGIS-telep (Szentjakab H)
18.0,3.854787877640482e-06,0.001327433628318584,0.09028804282689465,0.001032793689069544,009015,18,47.592495,19.285583,EGIS-telep (Szentjakab H)
24.0,3.8701320142249464e-06,0.0017699115044247787,0.0906501945369219,0.004521328592221706,009004,24,47.560201,19.283112,Szilasligeti elágazás
24.0,3.8701320142249464e-06,0.0017699115044247787,0.0906501945369219,0.004521328592221706,009005,24,47.560786,19.282783,"Kerepes, Szabadság útja"
24.0,3.8701320142249464e-06,0.0017699115044247787,0.0906501945369219,0.004521328592221706,009006,24,47.560766,19.2837,Szilasligeti elágazás
19.0,1.0144023865842454e-06,0.0017699115044247787,0.0831371394938199,0.0012764676035804002,009022,19,47.595557,19.271513,Mogyoród H
17.0,1.3402182020577955e-07,0.0004424778761061947,0.07675848249159392,0.0,072819,17,47.601588,19.294573,Szentjakab H
26.0,2.810284625150478e-07,0.001327433628318584,0.07783441245350599,0.00014976138781587326,CSF04664,26,47.568488,19.275036,Szilasliget
20.0,4.873868943236217e-07,0.0008849557522123894,0.08310962380024271,0.00019693831883245872,CSF04668,20,47.596508,19.271751,Mogyoród
21.0,7.002341390718229e-08,0.0008849557522123894,0.07676891198749958,0.0017691280110629262,009009,21,47.573117,19.269227,"Szilasliget, Wesselényi utca"
21.0,7.002341390718229e-08,0.0008849557522123894,0.07676891198749958,0.0017691280110629262,009010,21,47.572955,19.26924,"Szilasliget, Wesselényi utca"
22.0,9.415373279169653e-09,0.0008849557522123894,0.07130237253912165,0.0008849557522123894,009011,22,47.575273,19.266059,"Szilasliget, Szondi utca"
22.0,9.415373279169653e-09,0.0008849557522123894,0.07130237253912165,0.0008849557522123894,009012,22,47.575382,19.265687,"Szilasliget, Szondi utca"
25.0,5.2058758916983e-07,0.0008849557522123894,0.0831371394938199,0.0026525167765516105,009007,25,47.56955,19.272176,"Szilasliget, Posta"
25.0,5.2058758916983e-07,0.0008849557522123894,0.0831371394938199,0.0026525167765516105,009008,25,47.569882,19.27243,"Szilasliget, Posta"
23.0,1.2438442694785852e-09,0.0004424778761061947,0.06655868060668532,0.0,009013,23,47.578226,19.261133,"Szilasliget, Kemping"
496.0,6.252973980547733e-07,0.001327433628318584,0.08437243336071082,0.000737130754562041,103692,496,47.55239,19.270295,Kerepes H
496.0,6.252973980547733e-07,0.001327433628318584,0.08437243336071082,0.000737130754562041,CSF04662,496,47.553092,19.270897,Kerepes
27.0,0.00010167557761977612,0.001327433628318584,0.10653342132553974,9.600968139587574e-05,F03183,27,47.554902,19.115457,Beller Imre utca
27.0,0.00010167557761977612,0.001327433628318584,0.10653342132553974,9.600968139587574e-05,F03184,27,47.554883,19.115895,Beller Imre utca
29.0,0.00017447989178139274,0.0017699115044247787,0.11209205435968654,0.0011318839604839387,F03071,29,47.553326,19.118391,Rákos úti szakrendelő
32.0,0.0004087854362284605,0.001327433628318584,0.11586178611709218,0.0027250854846784956,F03068,32,47.555811,19.112973,Eötvös utca 74.
32.0,0.0004087854362284605,0.001327433628318584,0.11586178611709218,0.0027250854846784956,F03069,32,47.555614,19.112747,Arany János utca
28.0,0.0001862198447560652,0.0022123893805309734,0.11203093243444208,0.00133725856254854,F03070,28,47.554621,19.118951,Rákos úti szakrendelő
28.0,0.0001862198447560652,0.0022123893805309734,0.11203093243444208,0.00133725856254854,F03072,28,47.553838,19.118777,Rákos úti szakrendelő
28.0,0.0001862198447560652,0.0022123893805309734,0.11203093243444208,0.00133725856254854,F03073,28,47.553973,19.119415,Rákos úti szakrendelő
35.0,8.953723769974566e-05,0.001327433628318584,0.11438983651364074,0.00039546263762736976,F03117,35,47.552158,19.122379,Klapka György utca
35.0,8.953723769974566e-05,0.001327433628318584,0.11438983651364074,0.00039546263762736976,F03118,35,47.551817,19.122406,Klapka György utca
1291.0,0.0010796866443250487,0.0022123893805309734,0.12138790417875174,0.004097179562424796,043342,1291,47.559188,19.122464,Régi Fóti út
1291.0,0.0010796866443250487,0.0022123893805309734,0.12138790417875174,0.004097179562424796,F03058,1291,47.55864,19.120697,Illyés Gyula utca
1291.0,0.0010796866443250487,0.0022123893805309734,0.12138790417875174,0.004097179562424796,F03059,1291,47.559099,19.121056,Illyés Gyula utca
1291.0,0.0010796866443250487,0.0022123893805309734,0.12138790417875174,0.004097179562424796,F03060,1291,47.55917,19.122185,Szentmihályi út
33.0,2.9177842132380704e-05,0.001327433628318584,0.10411388031510573,0.00038191496075711565,F03181,33,47.549828,19.116898,Wesselényi utca
33.0,2.9177842132380704e-05,0.001327433628318584,0.10411388031510573,0.00038191496075711565,F03182,33,47.549235,19.116805,Wesselényi utca
36.0,0.00010990134568650925,0.0017699115044247787,0.11445356021472704,0.0010052686183095582,F03114,36,47.549997,19.120937,Damjanich János utca
36.0,0.00010990134568650925,0.0017699115044247787,0.11445356021472704,0.0010052686183095582,F03115,36,47.550789,19.119782,Klapka György utca
30.0,5.5000047381139135e-05,0.0008849557522123894,0.10396540620112246,0.0012473868523170206,F03066,30,47.553307,19.111792,Szerencs utca
30.0,5.5000047381139135e-05,0.0008849557522123894,0.10396540620112246,0.0012473868523170206,F03067,30,47.552911,19.111738,Szerencs utca
48.0,7.4619992851184e-06,0.0008849557522123894,0.09496995419590705,0.0004684009236660599,F03076,48,47.550825,19.110726,Dugonics utca
48.0,7.4619992851184e-06,0.0008849557522123894,0.09496995419590705,0.0004684009236660599,F03077,48,47.550582,19.110367,Eötvös utca
31.0,0.002936993281486582,0.001327433628318584,0.13035703985695335,0.0035071106974653085,F03179,31,47.557205,19.11356,Rädda Barnen utca
31.0,0.002936993281486582,0.001327433628318584,0.13035703985695335,0.0035071106974653085,F03180,31,47.557313,19.113493,Rädda Barnen utca
1305.0,0.011247533666040388,0.003097345132743363,0.14960942671786046,0.008741753027546258,F03053,1305,47.562673,19.114669,Hubay Jenő tér
1305.0,0.011247533666040388,0.003097345132743363,0.14960942671786046,0.008741753027546258,F03054,1305,47.56243,19.114682,Hubay Jenő tér
1305.0,0.011247533666040388,0.003097345132743363,0.14960942671786046,0.008741753027546258,F03055,1305,47.5618,19.115399,Hubay Jenő tér
1306.0,0.010570218629490686,0.0022123893805309734,0.1484303165637725,0.0049669718081781205,F03049,1306,47.563941,19.115667,Deák utca
1306.0,0.010570218629490686,0.0022123893805309734,0.1484303165637725,0.0049669718081781205,F03050,1306,47.563496,19.115618,Hubay Jenő tér
34.0,2.8462051607571674e-05,0.0008849557522123894,0.10181097396161816,6.170010224588371e-06,F03116,34,47.551519,19.117777,Szerencs utca
49.0,1.787010481671551e-05,0.0008849557522123894,0.10677501653595389,0.0004931995399779242,F03203,49,47.547779,19.115076,Szent Korona útja
49.0,1.787010481671551e-05,0.0008849557522123894,0.10677501653595389,0.0004931995399779242,F03204,49,47.547212,19.11457,Szent Korona útja
39.0,0.00038129891104574613,0.0017699115044247787,0.12534664448141986,0.0029612120574701657,F03121,39,47.548835,19.12338,Szerencs utca
39.0,0.00038129891104574613,0.0017699115044247787,0.12534664448141986,0.0029612120574701657,F03122,39,47.548997,19.123765,Bercsényi Miklós utca
39.0,0.00038129891104574613,0.0017699115044247787,0.12534664448141986,0.0029612120574701657,F03123,39,47.548479,19.123796,Bercsényi Miklós utca
39.0,0.00038129891104574613,0.0017699115044247787,0.12534664448141986,0.0029612120574701657,F03124,39,47.548254,19.123982,Bercsényi Miklós utca
37.0,0.00023517403699302154,0.0008849557522123894,0.11778194705023973,7.0873503690906655e-06,F03119,37,47.55012,19.125228,Kozák tér
37.0,0.00023517403699302154,0.0008849557522123894,0.11778194705023973,7.0873503690906655e-06,F03120,37,47.550236,19.125747,Kozák tér
54.0,0.0013976293220787294,0.001327433628318584,0.12991492297079787,0.0009687350242209216,F03125,54,47.549432,19.131591,Bánkút utca
54.0,0.0013976293220787294,0.001327433628318584,0.12991492297079787,0.0009687350242209216,F03126,54,47.548595,19.132453,Páskomliget utca
38.0,0.00012186656664855946,0.0008849557522123894,0.11904761904761904,0.0005699291236964196,F03112,38,47.549694,19.12223,Szerencs utca
38.0,0.00012186656664855946,0.0008849557522123894,0.11904761904761904,0.0005699291236964196,F03113,38,47.549649,19.122575,Szerencs utca
41.0,0.0006350502828527685,0.0008849557522123894,0.13136479888398048,0.0011160746956844902,F03086,41,47.544217,19.114885,Széchenyi út
41.0,0.0006350502828527685,0.0008849557522123894,0.13136479888398048,0.0011160746956844902,F03087,41,47.54374,19.114925,Széchenyi út
1290.0,0.0002869118822168979,0.0022123893805309734,0.12041773231031543,0.0022401945975701653,F03062,1290,47.556833,19.126292,Bezerédj Pál utca
1290.0,0.0002869118822168979,0.0022123893805309734,0.12041773231031543,0.0022401945975701653,F03063,1290,47.557364,19.125602,Fazekas sor
83.0,0.0024498476194554568,0.002654867256637168,0.1423891129032258,0.010543360023224611,F03106,83,47.546443,19.127499,Bánkút utca
83.0,0.0024498476194554568,0.002654867256637168,0.1423891129032258,0.010543360023224611,F03107,83,47.546362,19.12742,Bánkút utca
83.0,0.0024498476194554568,0.002654867256637168,0.1423891129032258,0.010543360023224611,F03108,83,47.546902,19.127354,Szerencs utca
83.0,0.0024498476194554568,0.002654867256637168,0.1423891129032258,0.010543360023224611,F03109,83,47.546435,19.126583,Szerencs utca
83.0,0.0024498476194554568,0.002654867256637168,0.1423891129032258,0.010543360023224611,F03110,83,47.546848,19.127101,Szerencs utca / Bánkút utca
83.0,0.0024498476194554568,0.002654867256637168,0.1423891129032258,0.010543360023224611,F03111,83,47.546521,19.126857,Szerencs utca / Bánkút utca
40.0,9.870807374109184e-05,0.001327433628318584,0.11751858977692267,0.0014295749525340131,F03168,40,47.542237,19.117128,Opál utca
40.0,9.870807374109184e-05,0.001327433628318584,0.11751858977692267,0.0014295749525340131,F03169,40,47.54203,19.117154,Opál utca
50.0,0.00010601527931901842,0.0017699115044247787,0.11847968545216252,0.0027888967986224784,009652,50,47.545721,19.112403,Széchenyi út
50.0,0.00010601527931901842,0.0017699115044247787,0.11847968545216252,0.0027888967986224784,F03082,50,47.546089,19.113148,Széchenyi út
50.0,0.00010601527931901842,0.0017699115044247787,0.11847968545216252,0.0027888967986224784,F03083,50,47.545109,19.112482,Széchenyi út
50.0,0.00010601527931901842,0.0017699115044247787,0.11847968545216252,0.0027888967986224784,F03085,50,47.54564,19.111712,Rákos út
77.0,0.0005890599512794963,0.0008849557522123894,0.13191688069110435,0.0019460356339890217,F03100,77,47.540104,19.119755,Vág utca
77.0,0.0005890599512794963,0.0008849557522123894,0.13191688069110435,0.0019460356339890217,F03101,77,47.539969,19.119303,Vág utca
78.0,5.1644791948873676e-05,0.0008849557522123894,0.10939542088194007,0.00021027347932134908,008353,78,47.539377,19.122388,Észak-Pesti Kórház
174.0,0.0046823597416449664,0.003097345132743363,0.1501361854779778,0.01103998375676889,009495,174,47.531435,19.10066,Rákospatak utca
174.0,0.0046823597416449664,0.003097345132743363,0.1501361854779778,0.01103998375676889,F02905,174,47.530967,19.101071,Rákospatak utca
