variable,min,q25,median,mean,q75,max,std
access_diff,-4,0.0,0.0,0.21872601688411358,0.0,8,0.8106767325394806
gini_diff,-11.428307807293635,-0.4999567897774728,0.05147660942439103,-0.06087615653984542,0.5651725277648039,7.814062028098974,1.3058342130558085
walk_sum,1,8.0,9.0,8.39006139677667,9.0,9,1.1009325246293724
weighted_gini_walk,20.493823744132122,29.784617862107417,31.660547810038018,32.44460342242611,34.35485725086534,44.4,3.4937501828272266
area_difference,-2.57,0.0729999999999999,0.9820000000000002,1.192113200306984,2.07425,12.137,1.5930802069002403
ellipticity,0.0081,0.33705,0.48045,0.48116627014581737,0.622725,0.9862,0.19496526307880235
distance_betweenness,0.02,3.861,5.8205,5.969319455103607,7.91625,16.529,2.807726220944685
