variable,min,q25,median,mean,q75,max,std
access_diff,-4,0.0,1.0,0.9981440237564959,2.0,8,1.238236998821388
gini_diff,-0.06468523177980331,-0.0031078041822989178,0.0003082872157883776,0.0019348642802959515,0.004835961937151065,0.08985587445174029,0.01194498087922412
walk_sum,1,7.0,8.0,7.474016332590943,9.0,9,1.49955819007532
weighted_gini_walk,0.19268743136181096,0.30378414820648414,0.3124360075752265,0.3086189515637762,0.3198554258800219,0.3369339931517572,0.019217023803826394
area_difference,-2.123,1.5924999999999998,3.495,3.9329825538233103,5.71475,14.833999999999998,3.1122067864119822
ellipticity,0.0202,0.42462500000000003,0.5604,0.5498024498886415,0.685475,0.9473,0.17869948426168447
distance_betweenness,0.029,3.188,5.441000000000001,5.8137286562732005,8.096499999999999,19.908,3.286280814051573
