x2_value,estimate,se,lower,upper
0.029,0.38010600038194764,0.1587414239553531,0.06897852657485126,0.691233474189044
1.088,0.3591384189583721,0.1364974980221613,0.09160823885510821,0.6266685990616361
1.6166666666666667,0.34867112775982295,0.12588596481124273,0.10193917057071017,0.5954030849489358
1.9425,0.34221981808354185,0.11956236738522748,0.10788188410214916,0.5765577520649345
2.2616666666666667,0.3359005045131693,0.11356057731215764,0.1133258629177635,0.5584751461085751
2.4894999999999996,0.3313895375937441,0.10941027961805795,0.1169493300038934,0.5458297451835948
2.803,0.3251824207133938,0.10390946955351768,0.12152360273583751,0.5288412386909501
3.111,0.31908420062041815,0.09877770753073349,0.12548345138474928,0.512684949856087
3.2676666666666665,0.31598229213156687,0.09628509510199254,0.12726697348364718,0.5046976107794865
3.4925,0.3115307234598005,0.09286306354598688,0.12952246341561147,0.4935389835039895
3.791333333333333,0.3056139980124491,0.08863055244548963,0.1319013072894007,0.4793266887354975
4.073,0.3000371625378122,0.08501527376321806,0.13341028782609152,0.46666403724953287
4.355,0.2944537272578799,0.08180869341323888,0.13411163454565225,0.45479581997010754
4.647,0.28867229781908477,0.07897746677703159,0.13387930734589393,0.4434652882922756
5.072333333333334,0.28025094626211833,0.07585505789905043,0.13157776473477867,0.428924127789458
5.443,0.27291196277360213,0.07420506109167874,0.12747271556331707,0.4183512099838872
5.726333333333334,0.2673021282724881,0.07366293242070213,0.12292543373230377,0.41167882281267243
5.981166666666667,0.26225657712413325,0.07372158776850671,0.11776492021475127,0.40674823403351523
6.35,0.2549538925647419,0.07471825561912897,0.10850880256359133,0.40139898256589246
6.744,0.2471529227055457,0.07692733405125544,0.09637811853840303,0.3979277268726884
7.045,0.241193298523774,0.07935304339856276,0.08566419139894682,0.3967224056486012
7.369,0.23477828777661774,0.08260864497355933,0.0728683188167854,0.3966882567364501
7.897666666666666,0.22431099657806858,0.08916249244931618,0.04955572260558405,0.3990662705505531
8.357166666666664,0.21521316497832077,0.0958945358352514,0.0272633284270421,0.40316300152959944
8.887,0.20472277446123752,0.10459868008538624,-0.0002868713365468678,0.4097324202590219
9.315166666666668,0.19624532455925991,0.11221695993462719,-0.023695875367183983,0.4161865244857038
9.876666666666665,0.1851279525391111,0.12282487961689072,-0.05560438791546293,0.4258602929936851
10.3605,0.17554833515279697,0.13240906326415558,-0.08396866007163398,0.43506533037722794
11.134333333333334,0.1602268871594603,0.14838321323287962,-0.13059886668731144,0.451052641006232
11.974,0.14360197762027654,0.16637983544392526,-0.18249650760351832,0.4697004628440714
19.908,-0.01348658802150654,0.3495593583266516,-0.6986103408006763,0.6716371647576633
