x2_value,estimate,se,lower,upper
0.032,0.7312957017607961,0.09114632990281021,0.5526521778282816,0.9099392256933105
1.4755,0.554139086740473,0.07701365798887183,0.4031950907645985,0.7050830827163475
2.022,0.4870687091106798,0.07190219608936559,0.34614299436618623,0.6279944238551733
2.5445,0.4229437826485261,0.06718142775283255,0.2912706038229944,0.5546169614740578
3.061,0.35955521897828235,0.06271107721191597,0.2366437662112163,0.4824666717453484
3.4284999999999997,0.31445299797380116,0.059673428545617184,0.19749522719036688,0.43141076875723544
3.837,0.2643189645579355,0.05646301304275502,0.15365349253552013,0.3749844365803509
4.276,0.21044175361652795,0.05324277412884608,0.10608783388698849,0.3147956733460674
4.659,0.1634372620662795,0.05066254170837822,0.06414050495259967,0.26273401917995937
5.0035,0.1211577650974528,0.04855385332181755,0.02599396127604975,0.21632156891885584
5.282,0.08697825883963506,0.04701541936285722,-0.005170269829612356,0.17912678750888247
5.59,0.04917830218826025,0.04550676329783244,-0.040013314928480676,0.13836991930500117
5.878,0.013832888176585123,0.04429690646075251,-0.07298745311302958,0.10065322946619983
6.2605,-0.033110239807670916,0.04301852552466967,-0.11742500050404066,0.051204520888698826
6.563,-0.07023519723312821,0.042293251861624484,-0.15312844767099393,0.012658053204737521
6.885,-0.10975333373229279,0.0418148069576152,-0.1917088493897136,-0.027797818074871986
7.206,-0.14914874309947235,0.041649261438208525,-0.2307797955010541,-0.0675176906978906
7.5905000000000005,-0.19633732534769843,0.04186494945888905,-0.2783911185017107,-0.11428353219368612
7.885,-0.23248046571727576,0.04233142397737092,-0.31544853212721824,-0.14951239930733332
8.19,-0.2699122409726956,0.04308042348256199,-0.35434831943725087,-0.18547616250814036
8.515,-0.30979855886781527,0.04416083872694088,-0.3963522122997012,-0.22324490543592934
8.899000000000001,-0.35692577755004884,0.04578468529232885,-0.44666211176651427,-0.2671894433335834
9.325,-0.4092075357756514,0.047981624478745086,-0.5032497916737174,-0.3151652798775854
9.7985,-0.467318832770541,0.050847542630884174,-0.5669781850294392,-0.36765948051164277
10.21,-0.5178210475823616,0.05364721749142142,-0.622967661736335,-0.41267443342838817
10.6995,-0.5778959786890107,0.05729069661536627,-0.6901836807043396,-0.46560827667368176
11.308,-0.6525754385018728,0.06220785877346898,-0.7745006012532263,-0.5306502757505194
12.098500000000001,-0.7495912363360021,0.06909463660473866,-0.885014235606173,-0.6141682370658312
13.229,-0.888334259045025,0.07964893439935018,-1.044443301874745,-0.732225216215305
14.824000000000005,-1.0840840345610738,0.09546082529109355,-1.2711838140660878,-0.8969842550560598
19.528,-1.6613924634184332,0.14509996605744754,-1.9457831710490152,-1.3770017557878511
