x2_value,estimate,se,lower,upper
0.029,-0.00955035873307315,0.0021079177351827354,-0.013681801576404556,-0.005418915889741741
1.088,-0.007925018812483817,0.00181252484804701,-0.011477502235739897,-0.004372535389227737
1.6166666666666667,-0.007113627841739505,0.0016715992478181993,-0.010389902164047426,-0.003837353519431584
1.9425,-0.006613542927551255,0.0015876158619517586,-0.009725212838261221,-0.003501873016841288
2.2616666666666667,-0.006123689929765832,0.0015079033703530576,-0.009079126227824393,-0.003168253631707271
2.4894999999999996,-0.005774014186699163,0.0014527792765633369,-0.008621409246249464,-0.002926619127148863
2.803,-0.005292858317856145,0.0013797144222757129,-0.007997048894467035,-0.0025886677412452555
3.111,-0.00482014378004546,0.001311547188513668,-0.007390729033557019,-0.0022495585265339016
3.2676666666666665,-0.004579693744578988,0.0012784349591997133,-0.007085380221187364,-0.002074007267970612
3.4925,-0.004234622363893591,0.0012329737221587994,-0.0066512064532091375,-0.0018180382745780444
3.791333333333333,-0.0037759767111367965,0.0011767403852762513,-0.006082345485432041,-0.0014696079368415522
4.073,-0.003343678243117285,0.001128701705507701,-0.005555892935201317,-0.0011314635510332525
4.355,-0.0029108681792776323,0.001086087044646296,-0.005039559670859922,-0.0007821766876953428
4.647,-0.0024627102408337374,0.0010484526459318747,-0.004517639666355941,-0.00040778081531153395
5.072333333333334,-0.0018099139743332684,0.0010069303064205962,-0.0037834611098595213,0.00016363316119298458
5.443,-0.0012410194223359972,0.0009849663950564716,-0.0031715180826289357,0.0006894792379569413
5.726333333333334,-0.0008061629752157771,0.0009777272391215826,-0.0027224731505978636,0.0011101472001663097
5.981166666666667,-0.0004150479707176521,0.0009784715312833084,-0.002332816931930697,0.0015027209904953927
6.35,0.0001510328042688431,0.00099166034545941,-0.0017925857577281523,0.0020946513662658383
6.744,0.0007557390636760159,0.0010209524062678946,-0.0012452908825385666,0.0027567690098905984
7.045,0.0012177100892637304,0.00105313618271708,-0.0008463988996777441,0.003281819078205205
7.369,0.0017149812264412034,0.0010963427465045172,-0.0004338110714193805,0.0038637735243017873
7.897666666666666,0.002526372197185515,0.0011833402623491983,0.00020706790152490336,0.004845676492846127
8.357166666666664,0.003231607035250479,0.0012727151453105743,0.0007371311878630873,0.00572608288263787
8.887,0.004044788591365291,0.0013882800021394162,0.0013238097867148409,0.00676576739601574
9.315166666666668,0.004701933422336962,0.001489431790551234,0.0017827007554275334,0.007621166089246392
9.876666666666665,0.005563716581365201,0.0016302816519583585,0.002368423258870349,0.008759009903860053
10.3605,0.006306297914300495,0.0017575401444861018,0.002861582529724407,0.009751013298876584
11.134333333333334,0.007493967610758833,0.001969645807634705,0.0036335327654944964,0.01135440245602317
11.974,0.0087826774816951,0.0022086065078237684,0.004453888270339725,0.013111466693050473
19.908,0.020959681192701488,0.004640854113033743,0.011863774273650759,0.030055588111752216
