x2_value,estimate,se,lower,upper
0.032,-0.014526357657495355,0.005163992404632352,-0.02464759678701317,-0.004405118527977538
1.4755,-0.011435553282080112,0.00436380902596421,-0.019988461808380792,-0.0028826447557794323
2.022,-0.010265394230355534,0.004073351012859054,-0.018249015511949046,-0.0022817729487620217
2.5445,-0.00914662368227485,0.0038043357225904253,-0.016602984683651262,-0.0016902626808984415
3.061,-0.008040700260105144,0.0035486771866505814,-0.01499597973869922,-0.0010854207815110687
3.4284999999999997,-0.007253813798057966,0.003374273332431024,-0.013867268003616734,-0.0006403595924991982
3.837,-0.006379138642285795,0.003189144586905153,-0.012629747174110775,-0.0001285301104608158
4.276,-0.00543915726313284,0.003002318760801038,-0.011323593904411811,0.00044527937814613054
4.659,-0.004619082392482311,0.0028514719005117172,-0.010207864620413266,0.0009696998354486452
5.0035,-0.0038814432464272016,0.0027270954525030356,-0.009226452115736122,0.0014635656228817193
5.282,-0.003285122485392809,0.002635461071449775,-0.00845053126809172,0.0018802862973061009
5.59,-0.0026256366886294596,0.0025445214327966845,-0.007612807054801226,0.002361533677542307
5.878,-0.0020089746449026905,0.0024704024238364625,-0.00685087442294262,0.002832925133137239
6.2605,-0.0011899703680780752,0.0023899755885991025,-0.005874236445662242,0.0034942957095060916
6.563,-0.0005422611033997875,0.002342191751977815,-0.005132872582163084,0.004048350375363509
6.885,0.00014720132048916777,0.002307755829167704,-0.0043759169897919096,0.004670319630770245
7.206,0.0008345225567262977,0.0022910282633710863,-0.0036558103270443853,0.005324855440496981
7.5905000000000005,0.0016578092088545705,0.0022946365234006263,-0.002839595734620866,0.006155214152330007
7.885,0.0022883889723182265,0.0023147682756266283,-0.002248473480465858,0.006825251425102311
8.19,0.002941451206126088,0.00235106770182164,-0.00166655681465969,0.007549459226911866
8.515,0.003637337192970531,0.002406248473603834,-0.0010788231531474709,0.008353497539088532
8.899000000000001,0.004459553251272891,0.002491844223990808,-0.00042437168283326106,0.009343478185379044
9.325,0.0053716991909520655,0.0026101069336517163,0.000255983605196416,0.010487414776707716
9.7985,0.006385551544093126,0.002766579258831204,0.0009631558364084402,0.011807947251777813
10.21,0.007266650262820784,0.002920791315829035,0.0015420044774385102,0.012991296048203057
10.6995,0.008314761618391108,0.003122666472971019,0.0021944477956371807,0.014435075441145036
11.308,0.009617674304529087,0.003396376215958064,0.0029608992433028374,0.01627444936575534
12.098500000000001,0.011310283143299958,0.003781070911224035,0.0038995203343087917,0.018721045952291123
13.229,0.013730895783692703,0.004372111199666687,0.00516171529594177,0.022300076271443633
14.824000000000005,0.017146090088360058,0.005258898427517329,0.006838838572071749,0.027453341604648365
19.528,0.027218236802563925,0.008044662414105975,0.011450988203133141,0.042985485401994705
