access_diff,gini_diff,walk_sum,weighted_gini_walk,area_difference,ellipticity,distance_betweenness
1,-4.288831291468263,8,43.492812073812004,2.714,0.2814,10.538
0,0.2861979199534659,9,36.79697657537805,0.1400000000000001,0.5714,5.58
0,-0.6655183819895854,9,32.67260042121742,2.138,0.4909,1.997
0,-1.1312369978294363,9,33.046977668713346,0.573,0.6567,2.285
0,-0.8562893647167016,9,33.06068414102855,1.1539999999999997,0.6266,2.32
0,-1.3668313465231954,9,32.933865822080726,1.1559999999999997,0.5286,2.612
0,-0.6952178985316877,9,32.98128915315505,0.5140000000000002,0.7152,2.589
0,-1.313277448426792,9,32.682657138054914,1.0240000000000005,0.5774,2.848
0,-0.9178505117016051,9,32.668987429249796,1.1870000000000005,0.6417,2.848
0,-1.2798492509074144,9,32.298847157428796,1.946,0.5345,3.156
0,-0.6400735883636486,9,32.31459991571348,1.2809999999999997,0.6051,3.144
0,-0.6728611898051113,9,31.2870956918328,1.4540000000000002,0.285,3.452
0,-0.11382755582364013,9,36.95854362052674,0.8410000000000002,0.4211,5.81
0,-0.10111958933148912,9,31.198652317925745,1.4410000000000005,0.459,3.47
1,0.16318718131801901,8,30.368360970234388,1.221,0.6529,3.709
1,0.5993192354397081,8,30.429352484143855,1.664,0.394,3.685
0,0.2560558749916275,8,29.33639048399325,1.95,0.4008,4.169
1,1.2588968327069985,8,29.37177352047053,1.569,0.5494,4.169
1,0.39289009771735905,8,29.102703565906328,2.104,0.6421,4.468
1,0.9644412806207754,8,29.08066158639859,2.579,0.4277,4.455
1,0.3370559832640865,8,28.930621938640726,2.506,0.6179,4.774
0,0.738407871386034,8,28.88261378384277,2.655,0.3548,4.77
1,0.24286986200412386,8,28.84645767738856,2.089,0.692,4.968
0,-0.0803428494912879,9,36.88515956821918,0.7769999999999997,0.5947,5.77
0,0.7353939861529035,8,28.812055625439633,2.407,0.4596,4.968
0,-0.08743650780227696,7,30.908267792233698,-0.905,0.8487,10.837
0,-0.3066727048185882,7,30.867649756143894,-0.8650000000000002,0.8462,11.038
0,-0.1723219974503074,9,29.453628828923506,3.698,0.5806,5.725
0,-0.407778291663508,9,29.451925103545967,2.008,0.7339,5.719
0,-0.6780811737503605,7,31.472789001478446,-0.5249999999999999,0.8747,11.284
0,0.8566569808636508,7,31.236416667821405,-0.353,0.7621,11.359
0,0.04743072601460341,9,29.186560740793645,4.695,0.5707,6.119
0,2.094610429298182,7,30.8002919331017,-0.476,0.7273,11.115
1,2.3187890476717,7,30.72504880338959,-0.129,0.6707,10.93
0,-0.08664943755967158,9,37.28183349506543,0.2749999999999999,0.4874,6.073
0,0.41727306807090514,9,28.83796745485274,2.585,0.5323,6.555
0,0.43335402304981585,9,28.822099190923417,2.878,0.5475,6.545
0,0.0936679356223884,9,28.724136378028735,-0.8919999999999999,0.6881,6.843
0,0.05120888004395141,9,28.72108930593466,0.565,0.5585,6.846
0,0.05078862306552878,9,28.691542075482673,-0.8330000000000002,0.554,7.107
0,0.1463527263305089,9,28.692598490188374,-0.3879999999999999,0.6745,7.093
0,-0.10308442414911312,9,28.726206980432256,-0.2570000000000001,0.4353,6.954
0,0.06809901486489167,9,28.747386553879355,-0.6719999999999999,0.6804,6.935
0,-0.07616052287863795,9,28.583757990844187,2.4690000000000003,0.5337,7.035
0,1.3932954230518462,9,28.01683857224603,4.485,0.5168,7.303
0,0.9614962671381804,9,37.193291527763385,0.0179999999999997,0.3911,6.038
0,2.107816953471904,9,28.02159938930889,2.252,0.9053,7.534
1,0.2751680008992068,8,28.015980667630167,1.0159999999999998,0.4091,7.749
0,0.1750630309325274,9,28.046969451275753,0.6989999999999998,0.2342,7.745
0,0.24044831482030204,9,28.209263893900633,0.7189999999999999,0.2503,7.603
0,0.35573706921372406,9,28.209184276636098,0.4079999999999999,0.1618,7.41
0,0.2351574011565667,9,28.393869765956428,0.5720000000000001,0.0808,7.265
0,0.015973197878963674,9,28.599440488383834,0.8129999999999997,0.2247,7.004
0,0.31727170422650275,9,29.14663027088223,1.501,0.4435,5.731
0,0.0721235476494897,9,40.178502642656056,2.151,0.5603,1.317
0,0.24004921158567072,9,37.06163976423215,-0.2959999999999998,0.5612,6.167
0,-0.015572152654986127,9,28.939112030551563,1.6629999999999998,0.3211,6.817
1,0.12009196689669466,8,29.07259036403271,2.25,0.4034,4.249
1,0.25006590026968567,8,29.06397958482123,2.136,0.5649,4.257
0,-0.022319221420612934,9,29.205863655897378,2.897,0.2923,4.62
0,0.084911350207733,9,29.163847881252266,2.002,0.4103,4.594
1,0.09942011000360651,8,29.074336833279332,2.39,0.342,4.708
1,0.07086981757207766,8,29.128147772178483,3.0980000000000003,0.4833,4.674
1,0.2600358211706215,8,28.831306126733836,2.345,0.4166,4.947
1,0.35645314272256456,8,28.882288039812344,2.6690000000000005,0.4048,4.908
0,0.2210263976359812,9,37.09326476471836,0.4460000000000002,0.3028,6.128
0,-0.13535897251371054,9,29.461832107520053,-0.3899999999999997,0.7892,6.102
-1,-0.019874759772253725,9,29.463922890009037,-0.4169999999999998,0.7732,6.072
0,0.2420943057969076,9,29.267033228047517,0.8859999999999997,0.2955,6.225
0,-0.660497968665922,9,29.415044215247544,1.884,0.6206,6.346
0,-0.49642952597097434,9,29.43401514825257,0.1929999999999996,0.4239,6.362
0,0.11016983144589076,9,29.149361782827615,1.0370000000000004,0.5987,6.495
0,0.3611254278199709,9,28.65513900219127,2.124,0.5245,6.733
1,0.01729282417954181,8,28.388696015994334,1.114,0.6014,7.216
0,0.4052311134461135,9,37.34630574459814,0.044,0.5029,6.024
1,0.0732776300045721,8,28.841044957457385,0.7079999999999997,0.51,7.354
1,0.033892540810743554,8,28.82641319759221,1.2590000000000003,0.5069,7.418
1,0.38241217851064135,7,27.96768089204521,1.7799999999999998,0.367,7.961
0,-0.1269063816953775,9,28.566006102872205,1.017,0.4911,6.891
1,-0.23166130616964153,8,28.67076102734647,1.315,0.4911,6.842
0,-0.12840466291978814,9,29.35394798211478,1.469,0.6414,6.657
0,-0.04636322713201935,9,29.31676871088585,1.5309999999999997,0.5689,6.483
0,0.06315100577786126,9,32.363098192063084,0.3799999999999999,0.5025,3.748
0,0.08884750122089713,9,32.20354306823491,0.993,0.6811,3.962
0,-0.7296401345970054,9,37.39528862286903,1.0499999999999998,0.3162,5.997
0,-0.054760728045327056,9,31.971703996029852,1.4809999999999994,0.5642,4.194
0,0.572281418912489,9,31.978252657687634,1.7319999999999998,0.5477,4.199
0,-0.27352360176320545,9,31.80362572068166,0.0710000000000001,0.8478,4.33
0,0.42470674459713464,9,31.810374121151884,1.133,0.6358,4.338
1,0.3374554829099381,8,30.690053104170534,0.6249999999999996,0.8232,4.683
1,0.5519499940679395,8,31.097793275079002,1.101,0.7934,4.596
1,0.7952871509644375,8,30.66392465115964,0.4790000000000001,0.8155,4.769
0,0.14253162138090758,9,28.96585445025207,0.6070000000000002,0.1342,6.589
0,0.7288010380949075,9,30.22448615183499,1.5380000000000005,0.3839,6.686
0,0.5220039371551373,9,30.183845325652626,2.156,0.4356,6.659
0,-0.5738345729266001,9,37.561367676530416,0.6939999999999995,0.4191,5.954
0,-0.2724181304559643,8,31.130363322919376,1.7479999999999998,0.3272,7.311
0,0.7410769837601947,9,32.15831265109611,0.1089999999999999,0.5724,4.016
0,1.2428647242853899,9,32.32538569960889,-0.133,0.809,4.073
0,-0.04778103579157289,8,30.350538940606665,-0.9160000000000004,0.5878,4.045
0,0.9583961281979612,8,30.474746213349757,-0.3079999999999998,0.3346,3.92
0,0.4207660037048946,8,30.882752537853438,0.1149999999999997,0.4059,3.696
0,-0.3258955627598681,8,31.330701199889653,1.519,0.5246,3.402
0,0.10855311502463394,8,31.295623406253014,1.596,0.4822,3.359
0,-0.1635591127414031,8,31.303463799677058,1.5779999999999998,0.4975,3.352
0,0.4180184275585077,8,31.426407918032957,-0.7729999999999997,0.3186,3.328
1,-0.7800130917494172,8,36.69654188773613,0.6499999999999999,0.3244,7.239
0,-0.8260134505959158,9,37.592932272441,1.605,0.272,5.934
1,0.5522315965338116,8,31.6631523137634,-0.3490000000000002,0.361,3.28
0,0.8061930716178125,9,32.19950475415376,-0.6969999999999996,0.1067,3.087
0,-0.015355254981507471,9,32.717722082404165,-0.2679999999999998,0.0184,3.018
0,-0.6643532329063646,9,32.745528264993325,0.4740000000000002,0.2477,3.004
0,-0.6428690550314968,9,32.76413400875848,0.6399999999999997,0.1941,3.001
0,-0.30698065862440416,9,32.206602327665216,0.3560000000000003,0.4663,3.274
0,-0.2365174627312996,9,32.32360142736178,0.782,0.0751,3.22
0,-0.9300234138402637,9,32.550660926695734,0.4699999999999997,0.4786,3.126
0,-0.05832367238141245,9,32.552837703948356,-0.1460000000000003,0.1598,3.112
0,-1.0113291128272053,9,32.52182987872273,0.835,0.5835,3.069
0,-0.06381249779517617,9,37.43195304063079,2.231,0.1615,6.046
0,-0.7870655233973594,9,32.556370670720554,0.621,0.4289,3.038
0,0.1465838583715744,8,31.26115001681728,0.5940000000000003,0.3816,3.441
0,0.06384226212465904,8,30.847983149921006,-0.3720000000000003,0.5684,3.76
0,0.9458903641180143,9,31.491044328053718,2.0850000000000004,0.3374,2.204
0,0.4628726371335965,9,30.90598055943824,0.6029999999999998,0.7391,1.898
0,1.1043090652091188,9,31.015539339622702,0.8840000000000003,0.4318,1.874
0,-0.14394342072056787,9,37.40992186287798,3.012,0.2576,6.058
0,0.667536981462959,9,31.04936129451146,2.044,0.3621,1.638
1,1.1223792381011926,8,30.884104220859893,1.4069999999999996,0.5795,1.604
0,0.925235782771793,9,30.843927436971573,3.734,0.4519,1.705
0,1.1824168622264395,9,30.81607633490233,1.8670000000000004,0.4784,1.692
0,0.5973677480955359,9,31.216902344665485,4.876,0.1658,1.805
0,0.6705025889911447,9,31.1721463915699,5.378,0.1787,1.767
0,0.01116375767134059,9,37.42164849918501,2.023,0.1866,5.973
0,-1.4004818520283386,9,32.81401706424663,3.764,0.762,3.439
