stop_id,stop_name,stop_lat,stop_lon,clust,Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality
F03656,Szigeti Kálmán utca,47.404215,19.198943,916,916.0,7.751458995030194e-05,0.0014756517461878996,0.06964952550618383,0.0019665673861598587
F03657,Ár utca,47.396871,19.195292,920,920.0,9.42034825896944e-05,0.000983767830791933,0.0694947699459903,0.0009837678307919333
F03658,Paula utca,47.396601,19.195822,920,920.0,9.42034825896944e-05,0.000983767830791933,0.0694947699459903,0.0009837678307919333
F03659,"Pestszentimre, Ültetvény utca",47.396787,19.175078,922,922.0,1.9319020121020328e-05,0.000983767830791933,0.06521251002405774,0.003889728784863498
F03661,Vásáros tér,47.410317,19.184076,929,929.0,0.0001175518556137456,0.000983767830791933,0.06958754064692795,9.534823272521333e-06
F03662,Törvény utca,47.408881,19.180932,927,927.0,0.0003002401330791061,0.0014756517461878996,0.07467949895309113,0.00082274652432989
F03663,Ady Endre utca,47.405855,19.189024,930,930.0,0.00029843983882218425,0.001967535661583866,0.07477288609364081,0.01098082490992756
F03664,Ady Endre utca,47.406313,19.189953,930,930.0,0.00029843983882218425,0.001967535661583866,0.07477288609364081,0.01098082490992756
F03665,Pestszentimre vasútállomás (Vasút utca),47.404504,19.185823,932,932.0,0.0012458426501296299,0.003935071323167732,0.08068420843751241,0.019318687681014912
F03672,Pestszentimre vasútállomás (Dózsa Gy.u.),47.403503,19.185428,931,931.0,0.0010131362085391003,0.002459419576979833,0.08061062648691515,0.005590250762913227
F03674,Pestszentimre felső vasútállomás,47.413951,19.172628,926,926.0,7.51019492335132e-05,0.000983767830791933,0.06943543153796236,1.7751716106809818e-06
F03675,Pestszentimre felső vasútállomás,47.413069,19.173792,926,926.0,7.51019492335132e-05,0.000983767830791933,0.06943543153796236,1.7751716106809818e-06
F03676,Lajos utca,47.399113,19.178607,923,923.0,9.437004316391295e-05,0.000983767830791933,0.06963044148371408,0.0048479564301659095
F03677,Lajos utca,47.398951,19.178541,923,923.0,9.437004316391295e-05,0.000983767830791933,0.06963044148371408,0.0048479564301659095
F03679,Közdűlő út,47.420175,19.164532,900,900.0,0.00020309512170790453,0.000983767830791933,0.07458360848191356,0.0
F03680,Közdűlő út,47.419841,19.165194,900,900.0,0.00020309512170790453,0.000983767830791933,0.07458360848191356,0.0
