,Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality,stop_id,clust,stop_lat,stop_lon,stop_name
0,1.0,0.023159751175868448,0.0016764459346186086,0.06762655178277875,0.0066889067659782735,1150122,1,60.1869,24.90153,Humallahti
1,1.0,0.023159751175868448,0.0016764459346186086,0.06762655178277875,0.0066889067659782735,1150123,1,60.1869,24.90168,Humallahti
2,678.0,0.004573211058744904,0.0016764459346186086,0.06336644181229086,0.005020899317607745,1150124,678,60.18645,24.89917,Mäntyniemi
3,678.0,0.004573211058744904,0.0016764459346186086,0.06336644181229086,0.005020899317607745,1150125,678,60.18644,24.89907,Mäntyniemi
4,1189.0,0.1172858754919951,0.004191114836546521,0.0724919487148326,0.01711599786545408,1150119,1189,60.18666,24.90587,Meilahden sairaala
5,1189.0,0.1172858754919951,0.004191114836546521,0.0724919487148326,0.01711599786545408,1150120,1189,60.18711,24.90495,Meilahden sairaala
6,1189.0,0.1172858754919951,0.004191114836546521,0.0724919487148326,0.01711599786545408,1150433,1189,60.19128,24.90543,Meilahden sairaala
7,1189.0,0.1172858754919951,0.004191114836546521,0.0724919487148326,0.01711599786545408,1150434,1189,60.19125,24.90558,Meilahden sairaala
8,2.0,1.1965731328763917e-05,0.0016764459346186086,0.07820386758439855,0.0007864665124294845,1230103,2,60.20808,24.97474,Arabia
9,2.0,1.1965731328763917e-05,0.0016764459346186086,0.07820386758439855,0.0007864665124294845,1230104,2,60.20827,24.97504,Arabia
10,116.0,2.7285635798781154e-06,0.0016764459346186086,0.08033670033670033,0.0009573258592896091,1230101,116,60.210234,24.976613,Kaironkatu
11,116.0,2.7285635798781154e-06,0.0016764459346186086,0.08033670033670033,0.0009573258592896091,1230102,116,60.21121,24.97757,Kaironkatu
12,370.0,6.0154332218699376e-05,0.002514668901927913,0.0845439727871873,0.0034185218097898327,1230113,370,60.20548,24.97209,Kokkosaarenkatu
13,370.0,6.0154332218699376e-05,0.002514668901927913,0.0845439727871873,0.0034185218097898327,1230114,370,60.20593,24.97255,Kokkosaarenkatu
14,3.0,0.00027491100223849967,0.002514668901927913,0.07403040645361464,0.003386985139602476,1532111,3,60.222205,25.131903,Kurkimoisio
15,3.0,0.00027491100223849967,0.002514668901927913,0.07403040645361464,0.003386985139602476,1532112,3,60.222174,25.132425,Kurkimoisio
16,326.0,0.0009139520429630648,0.010058675607711651,0.0799008773692318,0.09735470417723144,1473168,326,60.2323,25.13321,Kallvikintie
17,326.0,0.0009139520429630648,0.010058675607711651,0.0799008773692318,0.09735470417723144,1473183,326,60.23213,25.1339,Kallvikintie
18,326.0,0.0009139520429630648,0.010058675607711651,0.0799008773692318,0.09735470417723144,1532118,326,60.220471,25.133173,Kallvikintie
19,326.0,0.0009139520429630648,0.010058675607711651,0.0799008773692318,0.09735470417723144,1532119,326,60.22049,25.132235,Kallvikintie
20,326.0,0.0009139520429630648,0.010058675607711651,0.0799008773692318,0.09735470417723144,1532122,326,60.217769,25.132165,Kallvikintie
21,326.0,0.0009139520429630648,0.010058675607711651,0.0799008773692318,0.09735470417723144,1532123,326,60.213508,25.132622,Kallvikintie
22,326.0,0.0009139520429630648,0.010058675607711651,0.0799008773692318,0.09735470417723144,1532124,326,60.213566,25.133355,Kallvikintie
23,326.0,0.0009139520429630648,0.010058675607711651,0.0799008773692318,0.09735470417723144,1541151,326,60.209652,25.135162,Kallvikintie
24,326.0,0.0009139520429630648,0.010058675607711651,0.0799008773692318,0.09735470417723144,1541152,326,60.209607,25.134998,Kallvikintie
25,941.0,6.0963654666551424e-05,0.0016764459346186086,0.06893961282866223,0.0016764459346186086,1532113,941,60.221195,25.12927,Melatie
26,941.0,6.0963654666551424e-05,0.0016764459346186086,0.06893961282866223,0.0016764459346186086,1532114,941,60.22156,25.129716,Melatie
27,4.0,0.00020268338082385845,0.010058675607711651,0.0965210355987055,0.19160194867694103,1472101,4,60.2383,25.10849,Mellunmäk
28,4.0,0.00020268338082385845,0.010058675607711651,0.0965210355987055,0.19160194867694103,1472102,4,60.23845,25.10902,Mellunmäk
29,4.0,0.00020268338082385845,0.010058675607711651,0.0965210355987055,0.19160194867694103,1473109,4,60.23783,25.10901,Mellunmäk
30,4.0,0.00020268338082385845,0.010058675607711651,0.0965210355987055,0.19160194867694103,1473118,4,60.23811,25.10922,Mellunmäk
31,4.0,0.00020268338082385845,0.010058675607711651,0.0965210355987055,0.19160194867694103,1473180,4,60.23855,25.10968,Mellunmäk
32,4.0,0.00020268338082385845,0.010058675607711651,0.0965210355987055,0.19160194867694103,1473221,4,60.23837,25.10922,Mellunmäk
33,4.0,0.00020268338082385845,0.010058675607711651,0.0965210355987055,0.19160194867694103,1473223,4,60.23831,25.109,Mellunmäk
34,143.0,5.727061243295087e-05,0.003352891869237217,0.09683441558441558,0.14355968114141565,1414145,143,60.25679,25.08238,Louhikkotie
35,143.0,5.727061243295087e-05,0.003352891869237217,0.09683441558441558,0.14355968114141565,1414146,143,60.25619,25.08183,Louhikkotie
36,158.0,5.374981206986148e-05,0.002514668901927913,0.08815488066208527,0.006759527591666691,1472100,158,60.23998,25.102835,Aarteenetsijäntie
37,158.0,5.374981206986148e-05,0.002514668901927913,0.08815488066208527,0.006759527591666691,1472135,158,60.239857,25.103392,Aarteenetsijäntie
38,158.0,5.374981206986148e-05,0.002514668901927913,0.08815488066208527,0.006759527591666691,1472148,158,60.23944,25.10283,Aarteenetsijäntie
39,279.0,7.699656865404211e-05,0.002514668901927913,0.08893693156403758,6.619304334122054e-05,1472133,279,60.23512,25.1004,Untamalantie
40,279.0,7.699656865404211e-05,0.002514668901927913,0.08893693156403758,6.619304334122054e-05,1472134,279,60.23521,25.10082,Untamalantie
41,281.0,4.903943767327792e-05,0.0016764459346186086,0.08808328411104548,0.001201250829396316,1472128,281,60.239,25.10109,Tuukkalantie
42,300.0,7.835690579213376e-05,0.003352891869237217,0.09107565463012443,0.01695295906759219,1472131,300,60.23329,25.09953,Ohralantie
43,300.0,7.835690579213376e-05,0.003352891869237217,0.09107565463012443,0.01695295906759219,1472132,300,60.23268,25.0993,Ohralantie
44,843.0,5.851529304489587e-05,0.0016764459346186086,0.08804428044280443,0.00039246829709380977,1473110,843,60.23737,25.11256,Pallaksentie
45,878.0,4.82536389483569e-05,0.002514668901927913,0.09357596674248961,0.08275988589079283,1401123,878,60.28254,25.02771,Tikkuritie
46,878.0,4.82536389483569e-05,0.002514668901927913,0.09357596674248961,0.08275988589079283,1401224,878,60.28274,25.02989,Tikkuritie
47,878.0,4.82536389483569e-05,0.002514668901927913,0.09357596674248961,0.08275988589079283,1402120,878,60.28326,25.02772,Tikkuritie
48,914.0,9.039558384198003e-05,0.004191114836546521,0.09219474497681607,0.04638946620010319,1472113,914,60.23732,25.09838,Tanhuantie
49,914.0,9.039558384198003e-05,0.004191114836546521,0.09219474497681607,0.04638946620010319,1472114,914,60.23702,25.09955,Tanhuantie
50,1004.0,5.851529304489587e-05,0.0016764459346186086,0.08804428044280443,0.00039246829709380977,1473124,1004,60.238533,25.113694,Luostonkuja
51,1004.0,5.851529304489587e-05,0.0016764459346186086,0.08804428044280443,0.00039246829709380977,1473125,1004,60.238572,25.113675,Luostonkuja
52,5.0,7.761956791107158e-05,0.004191114836546521,0.08978700985926093,0.05949891622033508,1473113,5,60.23762,25.110412,Mellunmäki
54,5.0,7.761956791107158e-05,0.004191114836546521,0.08978700985926093,0.05949891622033508,1473604,5,60.238896,25.110183,Mellunmäki
56,442.0,1.8254513603083486e-05,0.0016764459346186086,0.08249775257589378,0.0006565572038732024,1473121,442,60.22934,25.118306,Ojapuisto
57,898.0,0.00021771931465309002,0.00586756077116513,0.09170574217849181,0.13336632724682737,1473105,898,60.23705,25.11995,Pyhätunturintie
58,898.0,0.00021771931465309002,0.00586756077116513,0.09170574217849181,0.13336632724682737,1473106,898,60.23692,25.12131,Pyhätunturintie
59,1244.0,1.7532950110232413e-05,0.0016764459346186086,0.08682046430390801,0.05190909586728052,1473601,1244,60.236163,25.083483,Kontula
60,1244.0,1.7532950110232413e-05,0.0016764459346186086,0.08682046430390801,0.05190909586728052,1473602,1244,60.236163,25.083483,Kontula
62,6.0,0.00023026714116211014,0.003352891869237217,0.0644795157280294,0.005028054369583562,1201135,6,60.16338,24.91418,Ruoholaht
63,6.0,0.00023026714116211014,0.003352891869237217,0.0644795157280294,0.005028054369583562,1201136,6,60.16335,24.91484,Ruoholaht
64,6.0,0.00023026714116211014,0.003352891869237217,0.0644795157280294,0.005028054369583562,1201431,6,60.16335,24.91484,Ruoholaht
65,6.0,0.00023026714116211014,0.003352891869237217,0.0644795157280294,0.005028054369583562,1201432,6,60.16338,24.91418,Ruoholaht
66,373.0,0.0002952929681521742,0.003352891869237217,0.06789596494223436,0.02204658096291252,1201139,373,60.16346,24.90771,Länsisatamankatu
67,373.0,0.0002952929681521742,0.003352891869237217,0.06789596494223436,0.02204658096291252,1201140,373,60.16333,24.90788,Länsisatamankatu
68,373.0,0.0002952929681521742,0.003352891869237217,0.06789596494223436,0.02204658096291252,1201403,373,60.16288,24.90795,Länsisatamankatu
69,373.0,0.0002952929681521742,0.003352891869237217,0.06789596494223436,0.02204658096291252,1201402,373,60.16255,24.90793,Länsisatamankatu
70,388.0,0.0004885968195087657,0.002514668901927913,0.06293853864415722,0.0029438061258353757,1201133,388,60.163552,24.919945,Itämerenkatu
71,388.0,0.0004885968195087657,0.002514668901927913,0.06293853864415722,0.0029438061258353757,1201134,388,60.163533,24.920651,Itämerenkatu
72,388.0,0.0004885968195087657,0.002514668901927913,0.06293853864415722,0.0029438061258353757,1201429,388,60.163533,24.920651,Itämerenkatu
73,388.0,0.0004885968195087657,0.002514668901927913,0.06293853864415722,0.0029438061258353757,1201430,388,60.163552,24.919945,Itämerenkatu
74,598.0,0.00038367453980276924,0.005029337803855826,0.06545594206079228,0.043381759566510886,1201131,598,60.16338,24.9044,Salmisaari
75,598.0,0.00038367453980276924,0.005029337803855826,0.06545594206079228,0.043381759566510886,1201132,598,60.16338,24.90505,Salmisaari
76,7.0,0.0008784137262752336,0.002514668901927913,0.07221986803075246,0.02648664039861819,1201601,7,60.162714,24.913852,Ruoholahti
77,7.0,0.0008784137262752336,0.002514668901927913,0.07221986803075246,0.02648664039861819,1201602,7,60.162714,24.913852,Ruoholahti
78,7.0,0.0008784137262752336,0.002514668901927913,0.07221986803075246,0.02648664039861819,1201113,7,60.163335,24.915131,Ruoholahti
79,571.0,0.004153019903339557,0.003352891869237217,0.07741223801180974,0.07438808271510164,1040146,571,60.169678,24.929383,Kamppi
80,571.0,0.004153019903339557,0.003352891869237217,0.07741223801180974,0.07438808271510164,1040271,571,60.169119,24.932058,Kamppi
81,571.0,0.004153019903339557,0.003352891869237217,0.07741223801180974,0.07438808271510164,1040272,571,60.169092,24.931967,Kamppi
82,571.0,0.004153019903339557,0.003352891869237217,0.07741223801180974,0.07438808271510164,1040273,571,60.169066,24.931895,Kamppi
83,571.0,0.004153019903339557,0.003352891869237217,0.07741223801180974,0.07438808271510164,1040274,571,60.16904,24.931804,Kamppi
84,571.0,0.004153019903339557,0.003352891869237217,0.07741223801180974,0.07438808271510164,1040275,571,60.169022,24.931713,Kamppi
85,571.0,0.004153019903339557,0.003352891869237217,0.07741223801180974,0.07438808271510164,1040276,571,60.169,24.93164,Kamppi
86,571.0,0.004153019903339557,0.003352891869237217,0.07741223801180974,0.07438808271510164,1040277,571,60.16898,24.93155,Kamppi
87,571.0,0.004153019903339557,0.003352891869237217,0.07741223801180974,0.07438808271510164,1040278,571,60.16895,24.93146,Kamppi
88,571.0,0.004153019903339557,0.003352891869237217,0.07741223801180974,0.07438808271510164,1040279,571,60.16892,24.93137,Kamppi
89,571.0,0.004153019903339557,0.003352891869237217,0.07741223801180974,0.07438808271510164,1040280,571,60.1689,24.93128,Kamppi
90,571.0,0.004153019903339557,0.003352891869237217,0.07741223801180974,0.07438808271510164,1040281,571,60.16887,24.93119,Kamppi
91,571.0,0.004153019903339557,0.003352891869237217,0.07741223801180974,0.07438808271510164,1040282,571,60.16885,24.93109,Kamppi
92,571.0,0.004153019903339557,0.003352891869237217,0.07741223801180974,0.07438808271510164,1040283,571,60.16882,24.931,Kamppi
93,571.0,0.004153019903339557,0.003352891869237217,0.07741223801180974,0.07438808271510164,1040284,571,60.1688,24.93093,Kamppi
94,571.0,0.004153019903339557,0.003352891869237217,0.07741223801180974,0.07438808271510164,1040285,571,60.16878,24.93086,Kamppi
95,571.0,0.004153019903339557,0.003352891869237217,0.07741223801180974,0.07438808271510164,1040601,571,60.168901,24.931497,Kamppi
96,571.0,0.004153019903339557,0.003352891869237217,0.07741223801180974,0.07438808271510164,1040602,571,60.168901,24.931515,Kamppi
97,576.0,0.00017322147038988214,0.0016764459346186086,0.06736687559997741,0.0016764459346186086,1310601,576,60.159362,24.87857,Lauttasaari
98,576.0,0.00017322147038988214,0.0016764459346186086,0.06736687559997741,0.0016764459346186086,1310602,576,60.159443,24.8785,Lauttasaari
99,8.0,1.359171416002586e-07,0.0016764459346186086,0.06714317874831158,0.005020899317607745,1285162,8,60.22654,24.9729,Veräjänkorva
