Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality,stop_id,clust,stop_lat,stop_lon
3.0,2.988838169204222e-06,0.0011583011583011582,0.06136713659519014,0.006125449550270053,5130,3,40.5073,-3.68606
3.0,2.988838169204222e-06,0.0011583011583011582,0.06136713659519014,0.006125449550270053,5166,3,40.50767,-3.68597
690.0,1.4362340632582395e-05,0.002702702702702703,0.0653330978987463,0.016069591405249842,3881,690,40.5132,-3.67918
690.0,1.4362340632582395e-05,0.002702702702702703,0.0653330978987463,0.016069591405249842,3882,690,40.5138,-3.67769
3386.0,6.454423414904247e-07,0.0011583011583011582,0.05793924209207642,0.002703232538470129,1026,3386,40.50958,-3.69365
3386.0,6.454423414904247e-07,0.0011583011583011582,0.05793924209207642,0.002703232538470129,1028,3386,40.50732,-3.69556
4.0,3.55827157601863e-14,0.0011583011583011582,0.03585618761507898,0.003087610040101349,6321,4,40.52262,-3.77852
4.0,3.55827157601863e-14,0.0011583011583011582,0.03585618761507898,0.003087610040101349,6327,4,40.52262,-3.77875
60.0,8.070187964947437e-15,0.0007722007722007722,0.03461826347305389,0.0023148127435497073,6322,60,40.52945,-3.78051
60.0,8.070187964947437e-15,0.0007722007722007722,0.03461826347305389,0.0023148127435497073,6326,60,40.52905,-3.78049
61.0,7.9580391971713e-14,0.0007722007722007722,0.037180591444157335,0.0019281158330984518,6328,61,40.52053,-3.77781
5.0,7.9580391971713e-14,0.0007722007722007722,0.037180591444157335,0.0019281158330984518,6320,5,40.5207,-3.77757
21.0,0.000651163554780394,0.0007722007722007722,0.07213881848313511,0.0007445646605476037,4817,21,40.44711,-3.62583
1923.0,0.003121287541860378,0.0015444015444015444,0.07763090849144262,0.06446064329894637,5348,1923,40.45086,-3.62599
1923.0,0.003121287541860378,0.0015444015444015444,0.07763090849144262,0.06446064329894637,5851,1923,40.45162,-3.62643
1923.0,0.003121287541860378,0.0015444015444015444,0.07763090849144262,0.06446064329894637,5852,1923,40.45177,-3.62687
22.0,0.00018615681180046532,0.0007722007722007722,0.0674338679441783,3.7548844037835934e-05,4818,22,40.44769,-3.6252
3355.0,0.00025950016611222637,0.0007722007722007722,0.06877871312106647,0.00013655928529624964,3119,3355,40.44774,-3.62239
23.0,2.0646626606489776e-06,0.0007722007722007722,0.055956444713304236,0.0007722007722007721,7208,23,40.4492,-3.55828
24.0,3.947138638983321e-07,0.0003861003861003861,0.0529923273657289,0.0,7209,24,40.44835,-3.5487
25.0,9.246937537804114e-06,0.0007722007722007722,0.05671739844519873,0.00031115042702528205,17388,25,40.43317,-3.60185
1581.0,5.005605713361487e-06,0.0019305019305019305,0.05654651442045281,0.0004032745193149099,3513,1581,40.44417,-3.58225
1581.0,5.005605713361487e-06,0.0019305019305019305,0.05654651442045281,0.0004032745193149099,3514,1581,40.44431,-3.58222
28.0,1.1578563008666841e-08,0.0011583011583011582,0.051715187093167206,0.03405769608077444,6446,28,40.42843,-3.78853
28.0,1.1578563008666841e-08,0.0011583011583011582,0.051715187093167206,0.03405769608077444,6447,28,40.42836,-3.78845
1894.0,5.550582853449046e-08,0.0011583011583011582,0.05396507896820436,0.04699009138769856,3425,1894,40.43778,-3.74148
1894.0,5.550582853449046e-08,0.0011583011583011582,0.05396507896820436,0.04699009138769856,3426,1894,40.43783,-3.74219
2371.0,2.7990408321556125e-09,0.0023166023166023165,0.04969492305921179,0.03245637313695852,2640,2371,40.39643,-3.7742
2371.0,2.7990408321556125e-09,0.0023166023166023165,0.04969492305921179,0.03245637313695852,4302,2371,40.39715,-3.77421
2371.0,2.7990408321556125e-09,0.0023166023166023165,0.04969492305921179,0.03245637313695852,5325,2371,40.39698,-3.77449
29.0,4.3881654702236236e-10,0.0003861003861003861,0.046871041297187735,0.0,4299,29,40.43199,-3.79199
3432.0,2.29626487831684e-09,0.0007722007722007722,0.04917503654901365,0.0007722007722007721,4300,3432,40.43094,-3.79082
30.0,1.6848034813940244e-11,0.0003861003861003861,0.04213643093041795,0.0,3445,30,40.45937,-3.78696
141.0,8.792728710369056e-11,0.0011583011583011582,0.0439892659397398,0.0024891026678811935,5,141,40.45939,-3.78429
141.0,8.792728710369056e-11,0.0011583011583011582,0.0439892659397398,0.0024891026678811935,3840,141,40.45915,-3.78435
31.0,7.850617084800417e-16,0.0007722007722007722,0.03277277961254729,0.0,19,31,40.46909,-3.81895
115.0,1.0112469983824417e-15,0.0023166023166023165,0.03278149048197651,0.00512527531605499,13,115,40.47101,-3.81782
115.0,1.0112469983824417e-15,0.0023166023166023165,0.03278149048197651,0.00512527531605499,14,115,40.47105,-3.81757
115.0,1.0112469983824417e-15,0.0023166023166023165,0.03278149048197651,0.00512527531605499,20,115,40.47045,-3.81714
32.0,4.5646213167000135e-17,0.0007722007722007722,0.030768865234746246,0.0007716042478499024,5127,32,40.478,-3.83316
120.0,1.1953339593422237e-17,0.0007722007722007722,0.029852466574458277,8.947865263044869e-07,3489,120,40.47714,-3.83014
33.0,1.174251792641331e-09,0.0019305019305019305,0.04677200902934537,0.015277489609750563,1803,33,40.37034,-3.64546
