,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,clust,max_distance,quant
3203,1949,1949,Rafaela Ybarra - Marina Vega,,40.38024,-3.71148,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=1949&Estado=1&panel=6,,1949,,,1252,40.178403258974264,2
3204,1949,1950,Rafaela Ybarra - Marina Vega,,40.38024,-3.71148,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=1950&Estado=1&panel=6,,1949,,,1252,40.178403258974264,2
3205,5007,5007,Rafaela Ybarra - Alzola,,40.36825,-3.71277,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=5007&Estado=1&panel=6,,5007,,,1253,58.94293592478767,3
3206,5007,3214,Rafaela Ybarra - Alzola,,40.36825,-3.71277,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=3214&Estado=1&panel=6,,5007,,,1253,58.94293592478767,3
3207,5007,1959,Rafaela Ybarra - Alzola,,40.36825,-3.71277,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=1959&Estado=1&panel=6,,5007,,,1253,58.94293592478767,3
3208,2842,2842,Rafaela Ybarra - Cestona,,40.37274,-3.71222,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=2842&Estado=1&panel=6,,2842,,,1254,70.18892604839544,2
3209,2842,1957,Rafaela Ybarra - Cestona,,40.37274,-3.71222,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=1957&Estado=1&panel=6,,2842,,,1254,70.18892604839544,2
3210,4627,4627,Rafaela Ybarra Acceso Peugeot,,40.35631,-3.71335,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=4627&Estado=1&panel=6,,4627,,,1256,26.705950694904008,2
3211,4627,4626,Rafaela Ybarra Acceso Peugeot,,40.35631,-3.71335,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=4626&Estado=1&panel=6,,4627,,,1256,26.705950694904008,2
3212,4122,4122,Arganda - Puente Praga,,40.39752,-3.70424,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=4122&Estado=1&panel=6,,4122,,,1257,21.451999480185343,2
3213,4122,4121,Arganda - Puente Praga,,40.39752,-3.70424,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=4121&Estado=1&panel=6,,4122,,,1257,21.451999480185343,2
3214,3284,3284,Sánchez Arcas - Bernardo Torre Rojas,,40.45288,-3.71691,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=3284&Estado=1&panel=6,,3284,,,1258,22.586439337500728,2
3215,3284,3283,Sánchez Arcas - Bernardo Torre Rojas,,40.45288,-3.71691,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=3283&Estado=1&panel=6,,3284,,,1258,22.586439337500728,2
3216,par_4_99,99,EUGENIA DE MONTIJO,Calle de Ocaña 86,40.38439,-3.75121,A,http://www.crtm.es,0.0,par_4_99,Europe/Madrid,2.0,1259,0.0,2
3217,par_4_99,99,EUGENIA DE MONTIJO,Calle de Ocaña 86,40.38439,-3.75121,A,http://www.crtm.es,1.0,par_4_99,Europe/Madrid,2.0,1259,0.0,2
3218,2633,2633,Camino De Campamento - San Roberto,,40.40403,-3.7598,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=2633&Estado=1&panel=6,,2633,,,1260,8.927435173237246,2
3219,2633,2632,Camino De Campamento - San Roberto,,40.40403,-3.7598,,http://www.emtmadrid.es/aplicaciones/Estimaciones.aspx?idStop=2632&Estado=1&panel=6,,2633,,,1260,8.927435173237246,2
