stop_id,stop_name,stop_lat,stop_lon,clust,Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality
007817,Márta utca,47.429184,18.929497,1757,1757.0,4.851213359286034e-07,0.0008741258741258,0.0475754803293687,0.0227108319697095
007877,Bíróság,47.519544,18.97806,2208,2208.0,2.542380521152856e-07,0.0008741258741258,0.0518820861678004,0.0077570230312715
007878,Bíróság,47.519418,18.978021,2208,2208.0,2.542380521152856e-07,0.0008741258741258,0.0518820861678004,0.0077570230312715
007879,"Római úti lakótelep, Varsa utca",47.570863,19.058543,1539,1539.0,2.457807218115046e-09,0.0004370629370629,0.0474187063480549,0.0
007881,Váradi utca,47.543722,19.030125,1493,1493.0,1.0441529178364585e-06,0.0017482517482517,0.0577894524146292,0.0011933605838112
007883,Perényi út,47.5458,19.029579,1509,1509.0,5.144646692036286e-07,0.0008741258741258,0.0547564915639583,0.0
007884,Deák Ferenc tér M,47.497413,19.055158,2425,2425.0,0.0027584270545014,0.0039335664335664,0.0892251296650157,0.2393312963393044
007885,Dorottya utca (Vörösmarty tér M),47.497476,19.049623,2428,2428.0,0.0006570617379582,0.0013111888111888,0.0833363686031688,0.0013757648057475
007897,Kelenföld vasútállomás M,47.464572,19.022964,2147,2147.0,0.0106910798235122,0.0039335664335664,0.0697560975609756,0.0702400847972931
007898,Kelenföld vasútállomás M,47.464653,19.023017,2147,2147.0,0.0106910798235122,0.0039335664335664,0.0697560975609756,0.0702400847972931
007900,Maros utcai rendelőintézet,47.503724,19.022401,1994,1994.0,0.0002993445345046,0.0008741258741258,0.0697135892748324,0.0002037608371206
007913,526. sor,47.479281,19.211332,795,795.0,2.245338543005341e-07,0.0013111888111888,0.0454274709129174,0.0017314685630164
007914,526. sor,47.4793,19.211468,795,795.0,2.245338543005341e-07,0.0013111888111888,0.0454274709129174,0.0017314685630164
007919,Pólus Center,47.552544,19.143552,57,57.0,5.03579367963972e-06,0.0008741258741258,0.0547997700708948,0.0030626298265445
007923,Kele utca,47.431808,19.173804,1059,1059.0,1.0544943391582136e-05,0.0013111888111888,0.0628450572692064,0.0005332923034232
007924,Ültetvény utca,47.396895,19.175423,1027,1027.0,1.171584818168264e-05,0.0008741258741258,0.0617827343180406,0.0034058459409535
007927,Ferihegy vasútállomás,47.438423,19.222716,735,735.0,2.6620115422078565e-05,0.0008741258741258,0.0573606097071801,0.0061028280857751
007928,Ferihegy vasútállomás,47.437667,19.223377,735,735.0,2.6620115422078565e-05,0.0008741258741258,0.0573606097071801,0.0061028280857751
007930,Savoyai Jenő tér (Törley tér),47.430333,19.036354,1702,1702.0,8.481380644767715e-08,0.0008741258741258,0.0531437995029382,0.0003792223714198
007931,Savoyai Jenő tér (Törley tér),47.430369,19.036792,1702,1702.0,8.481380644767715e-08,0.0008741258741258,0.0531437995029382,0.0003792223714198
007949,Kocsis Sándor út,47.574343,19.013009,1221,1221.0,3.62327184585183e-11,0.0013111888111888,0.0405271361768456,0.0017478695331777
007950,Keleti pályaudvar M,47.501104,19.082712,237,237.0,0.0244748697452124,0.0048076923076923,0.0848255663070478,0.2843665879351699
007967,Kelenföld vasútállomás M,47.465732,19.021875,2147,2147.0,0.0106910798235122,0.0039335664335664,0.0697560975609756,0.0702400847972931
007968,Mogyoród útja,47.570602,19.128267,1284,1284.0,5.115003214913985e-08,0.0013111888111888,0.0475142251941687,0.0
007973,Hűvösvölgy,47.542892,18.964574,1136,1136.0,3.9498814396906103e-10,0.0013111888111888,0.0437543027614166,0.0400082232553455
