,stop_id,walk15_gini,multimodal_gini,median_income_walk,median_income_multimodal
121,1040278,0.31083,0.317168,46002.0,42269.0
122,1040279,0.310729,0.317088,46054.0,42312.0
123,1040280,0.311098,0.317168,45904.0,42269.0
124,1040281,0.31114,0.317168,45880.0,42269.0
125,1040282,0.311151,0.317168,45877.0,42269.0
126,1040283,0.311506,0.317168,45739.0,42269.0
127,1040284,0.311606,0.317168,45706.0,42269.0
128,1040285,0.311533,0.317168,45731.0,42269.0
129,1040289,0.315104,0.317168,44558.0,42269.0
130,1040291,0.308812,0.318132,46691.0,41424.0
131,1040401,0.306464,0.313047,47669.0,44446.0
132,1040404,0.320098,0.316904,42837.0,42874.0
133,1040405,0.320034,0.315367,42849.0,44336.0
134,1040406,0.316877,0.316937,43952.0,42952.0
135,1040407,0.317251,0.314918,43829.0,44160.0
136,1040408,0.311966,0.316952,45619.0,42424.0
137,1040409,0.311853,0.317175,45652.0,42268.0
138,1040410,0.306843,0.315543,47601.0,43198.0
139,1040411,0.30728,0.317305,47425.0,42834.0
140,1040437,0.30447,0.31355,48501.0,44247.0
141,1040438,0.306712,0.312369,47566.0,45312.0
142,1040440,0.308538,0.311725,46892.0,45858.0
143,1040441,0.31475,0.313952,44639.0,44893.0
144,1040442,0.31704,0.315334,43861.0,44344.0
145,1040443,0.319353,0.315367,43071.0,44336.0
146,1040444,0.31643,0.313693,44047.0,45089.0
147,1040445,0.304376,0.310905,48521.0,45945.0
148,1040446,0.319375,0.314232,43047.0,44779.0
149,1040480,0.317299,0.315451,43759.0,42669.0
150,1040481,0.318418,0.318365,43455.0,43050.0
151,1040601,0.31069,0.317771,46073.0,41758.0
152,1040602,0.310675,0.31717,46078.0,42286.0
153,1050106,0.305969,0.314629,47807.0,43882.0
154,1050107,0.307677,0.308345,47180.0,46987.0
155,1050108,0.30549,0.314355,47975.0,43840.0
156,1050109,0.305334,0.308867,48017.0,46840.0
157,1050110,0.306392,0.308722,47632.0,46857.0
158,1050111,0.305401,0.306465,48070.0,47772.0
159,1050112,0.306784,0.308564,47531.0,46911.0
160,1050113,0.310786,0.309335,46123.0,46614.0
161,1050114,0.315274,0.314263,44456.0,44792.0
162,1050115,0.310467,0.309955,46234.0,46469.0
163,1050116,0.307697,0.30799,47176.0,47202.0
164,1050117,0.306559,0.310138,47612.0,46329.0
165,1050120,0.304634,0.309206,48393.0,46596.0
166,1050132,0.312731,0.312624,45352.0,45437.0
167,1050408,0.30549,0.309381,47975.0,46784.0
168,1050412,0.305293,0.308732,48042.0,46869.0
169,1050413,0.305969,0.310223,47807.0,46179.0
170,1050414,0.306022,0.309632,47782.0,46503.0
171,1050415,0.310786,0.309434,46123.0,46579.0
172,1050416,0.310467,0.308678,46234.0,46842.0
173,1050417,0.311488,0.308868,45854.0,46777.0
174,1050432,0.312731,0.313086,45352.0,45380.0
175,1050439,0.309957,0.314922,46363.0,44603.0
176,1060102,0.306088,0.310175,47771.0,46285.0
177,1060103,0.306036,0.308532,47794.0,46922.0
178,1070102,0.302996,0.305933,48869.0,47923.0
179,1070103,0.302862,0.303566,48924.0,48821.0
180,1070104,0.30438,0.30318,48527.0,48741.0
181,1070105,0.302976,0.30454,48904.0,48272.0
182,1070106,0.305803,0.302589,47961.0,48992.0
183,1070107,0.303916,0.304554,48530.0,48332.0
184,1070108,0.304368,0.304006,48385.0,48527.0
185,1070109,0.303842,0.304733,48561.0,48286.0
186,1070110,0.30381,0.305258,48570.0,48028.0
187,1070111,0.303823,0.305394,48614.0,48098.0
188,1070112,0.303989,0.305497,48536.0,47930.0
189,1070113,0.301579,0.302961,49520.0,49124.0
190,1070114,0.304269,0.305634,48489.0,47900.0
191,1070115,0.301265,0.305316,49668.0,48136.0
192,1070118,0.306177,0.309647,47748.0,46574.0
193,1070119,0.306083,0.306704,47783.0,47652.0
194,1070121,0.304176,0.307177,48436.0,47459.0
195,1070122,0.304098,0.304026,48461.0,48574.0
196,1070414,0.304269,0.306087,48489.0,47735.0
197,1070417,0.301265,0.304776,49668.0,48308.0
198,1070418,0.301164,0.303049,49727.0,48914.0
199,1070419,0.302996,0.305699,48869.0,47987.0
200,1070420,0.302862,0.303741,48924.0,48674.0
201,1070421,0.304176,0.306277,48436.0,47739.0
202,1070422,0.304098,0.304026,48461.0,48574.0
203,1070423,0.306177,0.30808,47748.0,47179.0
204,1070424,0.306083,0.306704,47783.0,47652.0
205,1070425,0.303789,0.307917,48632.0,46999.0
206,1070426,0.303288,0.312081,48856.0,44628.0
207,1070427,0.304348,0.313215,48481.0,44388.0
208,1080403,0.296196,0.297942,51829.0,51292.0
209,1080404,0.296186,0.302554,51806.0,48982.0
210,1080405,0.296294,0.298803,51773.0,50970.0
211,1080406,0.296345,0.301546,51754.0,49441.0
212,1080407,0.296585,0.29888,51528.0,51049.0
213,1080408,0.296661,0.301156,51524.0,49615.0
214,1080409,0.296382,0.299386,51400.0,50931.0
215,1080410,0.296454,0.297716,51394.0,51307.0
216,1080413,0.296191,0.297733,51530.0,51396.0
217,1080414,0.296728,0.29888,51501.0,51049.0
218,1080415,0.29666,0.296967,51544.0,51597.0
219,1090101,0.300618,0.304529,49949.0,48476.0
220,1090102,0.30042,0.302717,50013.0,49271.0
221,1090415,0.30039,0.304332,50058.0,48539.0
222,1090416,0.300369,0.30261,50064.0,49291.0
223,1100101,0.323308,0.322322,38476.0,39835.0
224,1100102,0.325191,0.321879,37712.0,40349.0
225,1100103,0.326186,0.320324,37117.0,41057.0
226,1100105,0.327547,0.320391,37261.0,40501.0
227,1100106,0.328383,0.324788,37699.0,38802.0
228,1100107,0.328583,0.320883,37018.0,40311.0
229,1100109,0.317367,0.319125,44328.0,39843.0
230,1100110,0.317922,0.323379,43953.0,38816.0
231,1100119,0.329267,0.321831,36895.0,39925.0
232,1100120,0.329233,0.325085,36898.0,38748.0
233,1100121,0.327181,0.323208,37355.0,39865.0
234,1100122,0.327488,0.320338,37102.0,41215.0
235,1100123,0.317917,0.321711,43971.0,39807.0
236,1100124,0.319433,0.323089,42523.0,39418.0
237,1100125,0.328417,0.324806,35632.0,38582.0
238,1100126,0.327115,0.324411,36211.0,38777.0
239,1100133,0.325248,0.325096,39805.0,38576.0
240,1100134,0.325166,0.323319,39854.0,39221.0
241,1100149,0.3221,0.322673,39298.0,39796.0
242,1100151,0.322092,0.322787,39310.0,40062.0
243,1100159,0.329611,0.323332,36448.0,38692.0
244,1100160,0.329037,0.320379,36873.0,39744.0
245,1100167,0.327062,0.323683,40503.0,39186.0
246,1100168,0.328233,0.330666,40231.0,38307.0
247,1100601,0.324377,0.322643,40204.0,38025.0
248,1100602,0.324426,0.321962,40180.0,39949.0
249,1111112,0.323328,0.322351,38635.0,39996.0
250,1111116,0.321566,0.320239,39685.0,40723.0
251,1111118,0.323761,0.321777,38332.0,39991.0
252,1111119,0.322687,0.321724,39034.0,40026.0
253,1111121,0.316888,0.321621,42361.0,40097.0
254,1111131,0.32664,0.325596,36511.0,37686.0
255,1111142,0.322329,0.321178,39255.0,39973.0
256,1111143,0.32152,0.321305,39783.0,40346.0
257,1111146,0.323797,0.322604,38223.0,39684.0
258,1111150,0.321044,0.320096,40055.0,40731.0
259,1111151,0.323215,0.321285,38687.0,40294.0
260,1111180,0.321833,0.321224,39579.0,40267.0
261,1111266,0.324191,0.321612,38044.0,40103.0
262,1111427,0.323301,0.321612,38652.0,40103.0
263,1111428,0.323965,0.321994,38227.0,39881.0
264,1111429,0.322366,0.321612,39242.0,40103.0
265,1111430,0.322374,0.320646,39230.0,40504.0
266,1111431,0.32664,0.325266,36511.0,37933.0
267,1111601,0.323423,0.321774,38573.0,39755.0
268,1111602,0.323423,0.319497,38573.0,41160.0
269,1112103,0.32688,0.322961,36351.0,39415.0
270,1112104,0.32982,0.323984,34491.0,37671.0
271,1112105,0.329074,0.323889,34956.0,38877.0
272,1112122,0.327381,0.325004,36029.0,38079.0
273,1112126,0.327293,0.321149,36076.0,40312.0
274,1112137,0.327043,0.324358,36253.0,38383.0
275,1112152,0.330322,0.324733,34140.0,36682.0
276,1112153,0.330286,0.324231,34161.0,38536.0
277,1112154,0.331676,0.324781,33295.0,36841.0
278,1112155,0.331809,0.32419,33222.0,38491.0
279,1112432,0.327069,0.322478,36236.0,39629.0
280,1112433,0.331282,0.327202,33540.0,36714.0
281,1112434,0.330556,0.324631,33992.0,38399.0
282,1112436,0.333815,0.3241,31995.0,38565.0
283,1113123,0.33068,0.327154,33934.0,36676.0
284,1113124,0.331205,0.327427,33610.0,36866.0
285,1113125,0.333417,0.326872,32292.0,36504.0
286,1113126,0.333277,0.326557,32392.0,37344.0
287,1113127,0.327861,0.322761,35802.0,39614.0
288,1113131,0.330982,0.322173,34538.0,39504.0
289,1113140,0.327721,0.324414,35947.0,38335.0
290,1113432,0.327797,0.325313,35917.0,38213.0
291,1113433,0.328009,0.323646,35793.0,39115.0
292,1113434,0.330175,0.325261,34754.0,38398.0
293,1113435,0.331242,0.324058,34250.0,39015.0
294,1113480,0.334296,0.327308,31770.0,36613.0
295,1121111,0.333779,0.328879,32178.0,34922.0
296,1121117,0.334085,0.326907,31940.0,36140.0
297,1121118,0.33397,0.328127,31991.0,36040.0
298,1121120,0.333898,0.32708,32181.0,36876.0
299,1121124,0.330216,0.322871,35279.0,38986.0
300,1121130,0.330143,0.3238,35396.0,38807.0
301,1121132,0.330399,0.323826,35292.0,38998.0
302,1121138,0.333777,0.328235,32240.0,34931.0
303,1121404,0.334199,0.326803,32138.0,36960.0
304,1121405,0.333897,0.327537,32229.0,36491.0
305,1121406,0.333938,0.324392,32140.0,38318.0
306,1121436,0.33013,0.322489,35329.0,39375.0
307,1121437,0.330633,0.322585,34912.0,39270.0
308,1121446,0.330766,0.325174,33846.0,37297.0
309,1121448,0.333886,0.326773,32007.0,37199.0
310,1121449,0.333813,0.326335,32071.0,36942.0
311,1121450,0.333612,0.325539,32480.0,38044.0
312,1121480,0.334038,0.32777,31946.0,36285.0
313,1121481,0.333997,0.324459,31990.0,38300.0
314,1121601,0.331561,0.322598,34152.0,38605.0
315,1121602,0.331561,0.320122,34152.0,40688.0
316,1122101,0.330674,0.325622,33907.0,36222.0
317,1122102,0.33097,0.325949,33730.0,36612.0
318,1122113,0.331235,0.328733,33967.0,34600.0
319,1122114,0.331277,0.327603,33927.0,35992.0
320,1122115,0.329165,0.324857,35364.0,35692.0
321,1122116,0.329422,0.32758,35223.0,35113.0
322,1122127,0.327977,0.323073,36060.0,36925.0
323,1122132,0.332274,0.328407,32992.0,35610.0
324,1122133,0.332583,0.3266,32834.0,36988.0
325,1122134,0.333642,0.328901,32288.0,34651.0
326,1122135,0.333472,0.326852,32345.0,36134.0
327,1122196,0.333521,0.329822,32315.0,34730.0
328,1122400,0.333823,0.331753,32354.0,33945.0
329,1122413,0.331235,0.324322,33967.0,36006.0
330,1122414,0.331277,0.329374,33927.0,34953.0
331,1122415,0.329165,0.321922,35364.0,36861.0
332,1122416,0.329422,0.328097,35223.0,34951.0
333,1122440,0.332855,0.327493,32893.0,35137.0
334,1122441,0.333112,0.32795,32680.0,35552.0
335,1122447,0.330766,0.325324,33849.0,36528.0
336,1130101,0.313996,0.315709,44072.0,40986.0
337,1130102,0.314206,0.315588,43958.0,41123.0
338,1130103,0.314517,0.320564,43894.0,39084.0
339,1130104,0.314535,0.318169,43996.0,41946.0
340,1130105,0.310717,0.312295,45623.0,44811.0
341,1130106,0.315818,0.316206,42715.0,41068.0
342,1130107,0.314344,0.316402,43635.0,41894.0
343,1130109,0.315012,0.316637,44293.0,42406.0
344,1130110,0.314728,0.316128,44239.0,41849.0
345,1130111,0.310892,0.315331,45513.0,42114.0
346,1130112,0.317127,0.315204,43890.0,43147.0
347,1130113,0.311045,0.316189,45779.0,42736.0
348,1130115,0.317187,0.314554,43858.0,42554.0
349,1130119,0.316618,0.31338,43739.0,43325.0
350,1130122,0.314642,0.316206,43820.0,40920.0
351,1130124,0.316626,0.316844,43755.0,41271.0
352,1130139,0.313951,0.317455,44628.0,42088.0
353,1130181,0.315674,0.314957,43983.0,42914.0
354,1130182,0.31559,0.315103,43992.0,41272.0
355,1130183,0.31783,0.314352,43525.0,42833.0
356,1130184,0.317594,0.31666,43577.0,41510.0
357,1130187,0.317293,0.316068,43601.0,42588.0
358,1130188,0.31717,0.315588,43634.0,41123.0
359,1130206,0.315452,0.317405,42955.0,39825.0
360,1130432,0.312005,0.313622,44929.0,43155.0
361,1130433,0.311891,0.315853,45017.0,42867.0
362,1130434,0.315277,0.317956,43067.0,40536.0
363,1130435,0.315104,0.316928,43183.0,41630.0
364,1130436,0.311257,0.314585,45694.0,43653.0
365,1130437,0.311197,0.314733,45733.0,43453.0
366,1130438,0.314549,0.316735,44419.0,41844.0
367,1130439,0.313951,0.315424,44628.0,42769.0
368,1130440,0.314633,0.316822,44122.0,41587.0
369,1130441,0.31468,0.316396,44166.0,42017.0
