stop_id,gini
1010102,0.302774
1010103,0.306662
1010105,0.310461
1010106,0.303201
1010107,0.311233
1010108,0.310397
1010109,0.313937
1010110,0.310938
1010115,0.303062
1010124,0.316752
1010125,0.319966
1010128,0.313437
1010180,0.300616
1010419,0.310109
1010420,0.318369
1010421,0.319541
1010422,0.312285
1010424,0.308458
1010425,0.301244
1010427,0.320509
1010428,0.314614
1020100,0.315259
1020101,0.315272
1020105,0.322212
1020106,0.319177
1020112,0.315211
1020113,0.315616
1020115,0.317080
1020116,0.315727
1020117,0.315363
1020118,0.315363
1020119,0.315834
1020120,0.315363
1020121,0.315259
1020122,0.315427
1020123,0.315802
1020129,0.315459
1020131,0.316026
1020132,0.316038
1020133,0.315509
1020135,0.315509
1020169,0.319430
1020171,0.315322
1020174,0.315292
1020177,0.315184
1020182,0.315363
1020204,0.316242
1020239,0.316174
1020241,0.316038
1020243,0.316038
1020245,0.316038
1020401,0.315296
1020402,0.314791
1020443,0.315096
1020444,0.315379
1020446,0.309681
1020447,0.314270
1020448,0.308276
1020449,0.313368
1020450,0.310780
1020453,0.315295
1020454,0.315686
1020455,0.311959
1020456,0.315363
1020457,0.320913
1020458,0.318225
1020459,0.320964
1020460,0.316867
1020463,0.314362
1020464,0.311300
1020501,0.315463
1020502,
1020503,0.315656
1020601,0.317269
1020602,0.315864
1020603,0.321693
1020604,0.316831
1030100,0.301261
1030102,0.310649
1030113,0.311815
1030114,0.302831
1030119,0.313637
1030121,0.311119
1030122,0.312990
1030401,0.310302
1030424,0.301496
1030425,0.303963
1030426,0.301846
1030427,0.303624
1030428,0.314583
1030429,0.310302
1040102,0.312775
1040104,0.311482
1040112,0.317431
1040115,0.317168
1040117,0.316354
1040123,0.315238
1040124,0.311499
1040125,0.316988
1040126,0.310615
1040127,0.316974
1040129,0.314634
1040130,0.316732
1040133,0.312145
1040139,0.317114
1040141,0.317114
1040144,0.316895
1040146,0.316896
1040153,0.314513
1040155,0.317793
1040157,0.314241
1040231,0.316159
1040233,0.312969
1040234,0.316471
1040271,0.317087
1040272,0.317172
1040273,0.317137
1040274,0.317087
1040275,0.317087
1040276,0.317087
1040277,0.317168
1040278,0.317168
1040279,0.317088
1040280,0.317168
1040281,0.317168
1040282,0.317168
1040283,0.317168
1040284,0.317168
1040285,0.317168
1040289,0.317168
1040291,0.318132
1040401,0.313047
1040404,0.316904
1040405,0.315367
1040406,0.316937
1040407,0.314918
1040408,0.316952
1040409,0.317175
1040410,0.315543
1040411,0.317305
1040437,0.313550
