stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,total_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,total_walk15,walk_area,area_difference,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,cluster,stop_lat,stop_lon,stop_name,weighted_gini_walk,weighted_gini_multi,weighted_med_inc_walk,weighted_med_inc_multi
1310129,2.565,0.55,25,0.598,5.981,11.068,2,2,7,1,116,3,38,16,15,200,2,2,6,1,116,3,37,16,16,199,2.817,-0.2520000000000002,2.27776231002106e-06,0.0017152658662092,0.0604234533062104,0.0011897417776436,6,60.15365,24.87722,Särkiniementie,0.288133,0.291217,51481.0,50580.0
1310130,3.832,0.6522,38,1.673,5.982,11.074,9,3,9,4,147,4,62,23,33,294,2,2,6,1,115,3,35,16,16,196,2.833,0.9989999999999996,2.27776231002106e-06,0.0017152658662092,0.0604234533062104,0.0011897417776436,6,60.1539,24.8764,Särkiniementie,0.288957,0.300817,51240.0,47999.0
1310131,2.366,0.5072,24,0.445,5.834,10.901,2,2,6,1,114,3,37,16,15,196,2,2,6,1,112,3,37,15,16,194,2.762,-0.3959999999999999,6.451984977548237e-07,0.0025728987993138,0.0570168513509191,5.8710959998513645e-05,12,60.15394,24.88144,Kiviaidankatu,0.286847,0.289989,51856.0,50939.0
1532143,3.719,0.6548,35,1.484,5.855,10.931,9,3,9,4,144,4,62,23,33,291,2,2,6,1,114,3,37,16,16,197,2.757,0.9619999999999996,6.451984977548237e-07,0.0025728987993138,0.0570168513509191,5.8710959998513645e-05,12,60.15414,24.879996,Heikkilänpolku,0.287431,0.300708,51686.0,48034.0
1310109,3.54,0.6448,38,0.77,5.718,10.85,8,3,8,2,139,3,46,18,17,244,2,2,7,1,98,3,31,15,16,175,2.982,0.5579999999999998,1.2271766803916883e-05,0.0034305317324185,0.0642701012462241,0.0057125329390287,14,60.15817,24.87228,Lauttasaaren kirkko,0.298066,0.297948,48580.0,48740.0
1310110,4.491,0.7292,47,1.494,5.755,10.887,12,5,17,4,166,12,112,35,92,455,2,2,7,1,97,3,31,15,16,174,2.994,1.4969999999999994,1.2271766803916883e-05,0.0034305317324185,0.0642701012462241,0.0057125329390287,14,60.15792,24.87184,Lauttasaaren kirkko,0.29781,0.3048,48655.0,46975.0
1310127,3.571,0.6488,39,1.136,5.72,10.843,8,3,8,2,139,3,46,18,17,244,2,2,7,1,108,3,33,16,15,187,3.063,0.508,1.2271766803916883e-05,0.0034305317324185,0.0642701012462241,0.0057125329390287,14,60.15759,24.87384,Hevosenkenkäpuisto,0.296037,0.297866,49172.0,48763.0
1310128,4.276,0.7059,44,2.507,5.742,10.864,12,5,17,4,162,12,112,30,91,445,2,2,7,1,109,3,33,17,15,189,3.027,1.2489999999999997,1.2271766803916883e-05,0.0034305317324185,0.0642701012462241,0.0057125329390287,14,60.15729,24.87399,Hevosenkenkäpuisto,0.295204,0.303567,49416.0,47295.0
1310146,3.618,0.7902,39,0.924,5.981,10.999,12,5,18,4,146,12,114,32,94,437,2,2,5,1,80,2,32,11,15,150,2.038,1.58,5.516341067816499e-06,0.0025728987993138,0.0641990845597642,0.0056489562749176,7,60.15126,24.88587,Nahkahousuntie,0.279912,0.304548,53881.0,47131.0
1310200,3.003,0.6476,30,0.97,6.058,11.069,9,3,8,4,130,4,61,23,32,274,2,2,5,0,72,2,25,10,14,132,1.893,1.11,5.516341067816499e-06,0.0025728987993138,0.0641990845597642,0.0056489562749176,7,60.150452,24.886015,Nahkahousuntie,0.277816,0.299064,54493.0,48554.0
1310133,2.682,0.5675,25,0.476,6.099,11.136,8,3,7,2,121,3,45,17,16,222,2,2,5,0,80,2,30,10,13,144,2.077,0.605,1.0865156187602604e-06,0.0017152658662092,0.0603763603102843,0.0005789591950414,8,60.15089,24.88264,Melkonkatu,0.279683,0.295171,53948.0,49578.0
1310134,3.221,0.598,28,0.758,5.989,11.037,8,3,8,2,130,3,46,17,17,234,2,2,6,1,94,3,35,12,16,171,2.317,0.904,2.944721962852135e-07,0.0017152658662092,0.0569805046109808,1.1778649725042146e-05,9,60.15206,24.88245,Melkonkatu,0.282557,0.297205,53109.0,48963.0
