Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality,stop_id,clust,stop_lat,stop_lon,stop_name
1,0.00013914246619027863,0.00017126220243192326,0.036953150276527735,0.0,9375373,1,49.010501828608646,2.559527249117376,AEROPORT CHARLES DE GAULLE - TERMINAL 3 - ROISSYPOLE
1,0.00013914246619027863,0.00017126220243192326,0.036953150276527735,0.0,9375374,1,49.010501828608646,2.559527249117376,AEROPORT CHARLES DE GAULLE - TERMINAL 3 - ROISSYPOLE
86,0.000724930914313669,0.0008563110121596163,0.03847704345018211,0.0008647481354264453,3672258,86,49.00336657296951,2.5643591158079397,TERMINAL 2A-2C
86,0.000724930914313669,0.0008563110121596163,0.03847704345018211,0.0008647481354264453,3672283,86,49.00336657296951,2.5643591158079397,TERMINAL 2A-2C
86,0.000724930914313669,0.0008563110121596163,0.03847704345018211,0.0008647481354264453,7899212,86,49.00336657296951,2.5643591158079397,TERMINAL 2A-2C
86,0.000724930914313669,0.0008563110121596163,0.03847704345018211,0.0008647481354264453,7899261,86,49.00336657296951,2.5643591158079397,TERMINAL 2A-2C
86,0.000724930914313669,0.0008563110121596163,0.03847704345018211,0.0008647481354264453,7899355,86,49.00336657296951,2.5643591158079397,TERMINAL 2A-2C
86,0.000724930914313669,0.0008563110121596163,0.03847704345018211,0.0008647481354264453,9217841,86,49.00336657296951,2.5643591158079397,TERMINAL 2A-2C
86,0.000724930914313669,0.0008563110121596163,0.03847704345018211,0.0008647481354264453,9218043,86,49.00336657296951,2.5643591158079397,TERMINAL 2A-2C
86,0.000724930914313669,0.0008563110121596163,0.03847704345018211,0.0008647481354264453,9218113,86,49.00336657296951,2.5643591158079397,TERMINAL 2A-2C
86,0.000724930914313669,0.0008563110121596163,0.03847704345018211,0.0008647481354264453,9218149,86,49.00336657296951,2.5643591158079397,TERMINAL 2A-2C
86,0.000724930914313669,0.0008563110121596163,0.03847704345018211,0.0008647481354264453,9375370,86,49.00342885341075,2.564687201215712,TERMINAL 2A-2C
86,0.000724930914313669,0.0008563110121596163,0.03847704345018211,0.0008647481354264453,9375375,86,49.00342885341075,2.564687201215712,TERMINAL 2A-2C
2,4.5295167273833864e-45,0.0003425244048638465,0.004479510140289967,2.2881897550000028e-05,1696,2,48.79599413239317,2.3682314519156806,Villejuif-Paul Vaillant Couturier (Hôpital Paul Brousse)
2,4.5295167273833864e-45,0.0003425244048638465,0.004479510140289967,2.2881897550000028e-05,2506,2,48.79599413239317,2.3682314519156806,Villejuif-Paul Vaillant Couturier (Hôpital Paul Brousse)
611,1.6344144393644397e-44,0.0003425244048638465,0.004798009303645751,4.564645203564108e-05,1639,611,48.80376966328267,2.3639093063890435,Villejuif-Léo Lagrange
611,1.6344144393644397e-44,0.0003425244048638465,0.004798009303645751,4.564645203564108e-05,2519,611,48.80376966328267,2.3639093063890435,Villejuif-Léo Lagrange
3,1.838276038168353e-15,0.0003425244048638465,0.021277922485833742,0.0,8185382,3,48.80886762976351,2.135005037477252,GARE DE VERSAILLES - RIVE DROITE BD DE LA REINE
3,1.838276038168353e-15,0.0003425244048638465,0.021277922485833742,0.0,8185383,3,48.80867953398885,2.1353867822971004,GARE DE VERSAILLES - RIVE DROITE BD DE LA REINE
209,7.7507163278157e-15,0.0005137866072957698,0.02177430370313417,0.0009582234635553858,8185378,209,48.80815436991803,2.143879862587548,ETATS-UNIS - UNIVERSITE
209,7.7507163278157e-15,0.0005137866072957698,0.02177430370313417,0.0009582234635553858,8185379,209,48.80799259030568,2.1438804651851098,ETATS-UNIS - UNIVERSITE
4,1.1885971709833974e-48,0.00017126220243192326,0.0036349766444529865,0.0,48429,4,49.04883536512254,2.0122584189440045,Cergy-Le-Haut
4,1.1885971709833974e-48,0.00017126220243192326,0.0036349766444529865,0.0,48430,4,49.04883536512254,2.0122584189440045,Cergy-Le-Haut
5,4.590651549096464e-48,0.0003425244048638465,0.003843055448406702,2.2881897550000028e-05,2022,5,49.04976500165793,2.034345116989872,Cergy-Saint-Christophe
5,4.590651549096464e-48,0.0003425244048638465,0.003843055448406702,2.2881897550000028e-05,2141,5,49.04976500165793,2.034345116989872,Cergy-Saint-Christophe
15,1.6542122730822214e-47,0.0003425244048638465,0.004075134127625659,4.564645203564108e-05,2021,15,49.03594383494343,2.0801437572429307,Cergy-Préfecture
15,1.6542122730822214e-47,0.0003425244048638465,0.004075134127625659,4.564645203564108e-05,2140,15,49.03594383494343,2.0801437572429307,Cergy-Préfecture
6,1.368853402015272e-48,0.00017126220243192326,0.003479433457806626,0.0,1885,6,48.87016777436163,2.782492052599299,Marne-la-Vallée Chessy
6,1.368853402015272e-48,0.00017126220243192326,0.003479433457806626,0.0,2281,6,48.87016777436163,2.782492052599299,Marne-la-Vallée Chessy
7,5.281456372225715e-48,0.0003425244048638465,0.0036696197295017327,2.2881897550000028e-05,161468,7,48.85549704826123,2.7736084332189748,Val d'europe
7,5.281456372225715e-48,0.0003425244048638465,0.0036696197295017327,2.2881897550000028e-05,161469,7,48.85549704826123,2.7736084332189748,Val d'europe
9,1.9009635279983353e-47,0.0003425244048638465,0.0038806486986801337,4.564645203564108e-05,2012,9,48.83665082820275,2.709854058543625,Bussy-Saint-Georges
9,1.9009635279983353e-47,0.0003425244048638465,0.0038806486986801337,4.564645203564108e-05,2131,9,48.83665082820275,2.709854058543625,Bussy-Saint-Georges
