stop_id,walk15_gini
1,43.492812
100,36.796977
1000,32.672600
1001,33.046978
1002,33.060684
1003,32.933866
1004,32.981289
1005,32.682657
1006,32.668987
1007,32.298847
1008,32.314600
1009,31.287096
101,36.958544
1010,31.198652
1011,30.368361
1012,30.429352
1013,29.336390
1014,29.371774
1015,29.102704
1016,29.080662
1017,28.930622
1018,28.882614
1019,28.846458
102,36.885160
1020,28.812056
1021,30.908268
1022,30.867650
1023,29.453629
1024,29.451925
1025,31.472789
1026,31.236417
1027,29.186561
1028,30.800292
1029,30.725049
103,37.281833
1030,28.837967
1031,28.822099
1032,28.724136
1033,28.721089
1034,28.691542
1035,28.692598
1036,28.726207
1037,28.747387
1038,28.583758
1039,28.016839
104,37.193292
1040,28.021599
1041,28.015981
1042,28.046969
1043,28.209264
1044,28.209184
1045,28.393870
1046,28.599440
1048,29.146630
1049,40.178503
105,37.061640
1051,28.939112
1052,29.072590
1053,29.063980
1054,29.205864
1055,29.163848
1056,29.074337
1057,29.128148
1058,28.831306
1059,28.882288
106,37.093265
1060,29.461832
1061,29.463923
1062,29.267033
1064,29.415044
1065,29.434015
1066,29.149362
1067,28.655139
1069,28.388696
107,37.346306
1070,28.841045
1072,28.826413
1073,27.967681
1074,28.566006
1075,28.670761
1076,29.353948
1077,29.316769
1078,32.363098
1079,32.203543
108,37.395289
1080,31.971704
1081,31.978253
1082,31.803626
1083,31.810374
1084,30.690053
1085,31.097793
1086,30.663925
1087,28.965854
1088,30.224486
1089,30.183845
109,37.561368
1090,31.130363
1091,32.158313
1092,32.325386
1093,30.350539
1094,30.474746
1095,30.882753
1096,31.330701
1097,31.295623
1098,31.303464
1099,31.426408
11,36.696542
110,37.592932
1100,31.663152
1101,32.199505
1102,32.717722
1103,32.745528
1104,32.764134
1105,32.206602
1106,32.323601
1107,32.550661
1108,32.552838
1109,32.521830
111,37.431953
1110,32.556371
1115,31.261150
1116,30.847983
1117,31.491044
1118,30.905981
1119,31.015539
112,37.409922
1120,31.049361
1121,30.884104
1122,30.843927
1123,30.816076
1124,31.216902
1125,31.172146
113,37.421648
1132,32.814017
1133,31.155966
1134,32.173269
1135,31.405560
1136,31.461179
1137,31.205484
1138,31.285200
1139,30.188559
114,37.200349
1140,30.176452
1141,29.976748
1142,29.895687
1143,29.762256
1144,29.984758
1145,30.304502
1147,30.020323
1148,29.843172
1149,33.096159
115,37.169766
1150,32.728363
1151,32.000384
1152,31.853647
1153,31.900786
1154,31.794094
1155,31.831768
1156,31.618075
1157,31.689600
1158,30.355192
1159,29.811678
116,37.285093
1160,29.550259
1161,29.344812
1162,29.548343
1163,29.556613
1164,29.738346
1165,30.355588
1166,34.966105
1167,35.112715
1168,31.206008
1169,28.848404
117,37.223768
1170,31.218075
1171,31.175454
1172,30.209728
1173,30.201173
1174,29.967120
1175,29.952856
1176,30.279344
11760,29.768715
1177,30.234713
1178,31.638570
1179,31.585256
118,37.076985
1180,32.133241
1181,31.956881
1182,31.072032
1183,31.738241
1184,32.899460
1185,34.392793
1186,32.073417
1187,31.277807
1188,30.999813
1189,30.630019
119,37.028150
1190,30.654716
1191,30.818296
1192,30.795663
1193,30.908537
1194,30.885143
1195,30.803084
1196,30.793186
1197,30.802998
1198,30.838895
1199,33.165660
120,37.224854
1200,29.301815
1201,29.283699
1202,29.177678
1203,29.175772
1204,28.984250
1205,28.991179
1206,28.959043
1207,28.983736
1208,28.898228
1209,28.915591
1210,28.974650
1211,28.970131
1213,29.089360
1214,29.420616
1215,29.217780
1216,36.480427
1217,36.629357
1218,36.492221
1219,36.424493
1220,36.376870
1221,36.526470
1222,36.638353
1223,37.515093
1224,37.393251
1226,38.325553
1227,38.981628
1228,38.957491
1229,40.335135
123,33.682977
1230,40.376299
1232,41.551261
1233,33.257465
1234,32.541884
1235,32.567919
1236,32.251680
1237,32.263078
1238,32.314514
1239,32.291213
124,31.913920
1240,32.363612
1241,32.579830
1242,32.811191
1243,32.800620
1244,32.787148
1246,32.801970
1247,36.886615
1248,32.875800
1249,34.986816
125,31.044775
1250,33.282692
1252,37.157587
1253,35.108783
1254,36.178855
1255,36.063286
1256,34.203792
1257,34.215804
1258,37.884198
1259,38.837584
126,31.135132
1260,29.935117
1261,29.869318
1262,30.034776
1263,30.030488
1264,29.923210
1265,29.933657
1266,29.646963
1268,29.057648
1269,29.048296
127,31.137116
1270,29.175303
1271,29.168661
1272,29.123159
1273,29.114692
1274,29.039627
1275,29.060757
1277,28.897061
1278,28.873890
128,31.240295
1280,36.455508
1281,35.191861
1283,32.184543
1284,33.481632
1285,33.567215
1286,37.535476
1287,41.555117
1289,34.326456
129,31.650857
1291,34.706537
1292,33.164897
1293,33.205487
1294,31.085293
1295,31.144963
1296,30.390851
1297,30.435279
1298,29.372082
1299,29.398333
13,44.379722
130,31.701227
1301,29.311744
1302,29.575790
1303,29.582785
1305,38.433478
1306,29.925167
1307,29.902378
1308,29.982756
1309,29.974299
131,31.904592
1310,30.074101
1311,29.994496
1312,30.031910
1313,30.126352
1314,30.202702
1315,30.749300
1316,30.790217
1317,30.568175
1319,30.131920
132,31.946301
1321,30.539406
1322,30.547383
1323,30.715643
1324,32.759045
1325,36.660513
1326,37.969999
1327,28.864628
1328,37.507658
1329,36.022660
133,31.996660
1330,34.478612
1331,34.247937
1332,33.925244
1333,31.301577
1334,33.729155
1335,33.887357
1336,35.001085
1337,28.973924
1338,35.184903
134,31.994250
1340,36.471730
1341,43.787742
1342,44.044996
1343,39.935873
1344,40.266176
1346,40.468323
1347,37.346267
1348,37.423445
1349,36.661305
135,31.657252
1350,36.517519
1351,36.351058
1352,32.786759
1353,32.892472
1354,31.076813
1355,30.424728
1356,30.155173
1357,30.084446
1358,29.768715
1359,29.431723
136,31.860951
1360,29.424658
1361,29.711454
1362,29.117461
1363,29.051434
1364,29.033917
1365,28.916485
1366,28.616787
1367,28.608504
1368,28.734318
1369,28.622500
137,31.228448
1370,28.580218
1371,28.613817
1372,28.460138
1373,28.433492
1374,28.817197
1375,28.711672
1376,29.640033
1377,29.391009
1378,28.838944
1379,28.366352
138,31.289176
1380,28.385663
1381,35.398017
1382,35.668090
1383,36.241162
1384,36.484409
1386,37.274759
1387,37.067458
139,30.766281
1393,40.887651
1395,36.801343
1396,31.171812
1397,36.747373
1398,36.089223
1399,35.838336
14,44.381625
140,30.756943
1400,31.242864
1401,34.444561
1402,32.467849
1403,32.433829
1404,31.373341
1405,31.461571
1406,31.236022
1407,31.221284
1408,31.602978
1409,31.611761
1410,32.364313
1411,32.362097
1412,31.630877
1414,34.870157
1415,35.099685
1416,35.098984
1417,35.113880
1418,35.141064
1419,35.356450
1420,35.586906
1421,35.754936
1422,35.972918
1423,36.783050
1424,37.799253
1425,31.364218
1426,31.571541
1427,36.341367
1428,35.979515
1429,37.267960
1430,29.711978
1431,31.198145
1432,31.160386
1433,31.085946
1434,31.157440
1435,31.217728
1436,31.328992
1437,31.623073
1439,29.976668
1440,30.004202
1441,30.005982
1442,29.992693
1443,29.951938
1444,30.062526
1445,30.060841
1446,29.905214
1447,29.678702
1448,31.385551
1449,29.115154
145,33.336451
1450,30.015078
1452,32.445379
1453,32.507225
1454,32.443912
1455,32.487168
1456,32.541443
1457,32.468934
1458,32.410525
1459,32.595977
146,35.497696
1460,32.562168
1461,32.978880
1462,32.986454
1463,32.750725
1464,32.777835
1465,32.493560
1466,32.330473
1467,32.127775
1468,32.158303
1469,31.964314
147,36.273540
1470,31.779724
1471,31.515506
1472,31.184057
1473,31.139917
1474,30.725116
1475,30.748806
1476,30.301618
1477,30.307433
1478,30.082072
1479,30.077835
148,35.939762
1480,30.058293
1481,30.036014
1482,29.892331
1483,29.850843
1484,29.662289
1486,36.248560
1487,35.248887
1488,33.842582
1489,32.541487
149,35.750391
1490,31.754684
1491,31.823421
1492,30.896641
1493,30.935745
1494,30.612207
1495,30.956598
1496,30.448644
1497,30.510108
1498,30.249625
1499,30.299697
150,35.484806
1500,29.871747
1501,29.646075
1502,29.637623
1503,29.404753
1504,29.349574
1505,29.201637
1506,29.213846
1507,29.401957
1508,29.365915
1509,29.732129
151,35.549715
1510,29.754285
1511,29.871149
1512,29.881741
1513,30.158013
1514,30.113109
1515,30.383487
1516,30.372672
1517,30.443708
1518,30.436320
