stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,walk_area,area_difference,Unnamed: 27,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,weighted_gini_walk,weighted_gini_multi,weighted_net_income_hh_walk,weighted_net_income_hh_multi
1044,2.901,0.1618,42,0.872,7.41,8.796,2,23,22,3,76,4,51,30,25,2,19,14,2,59,4,24,22,13,2.493,0.4079999999999999,2749,Avenida Santa Eugenia - Virgen Las Viñas,40.38079,-3.60943,324,6.980205430408792e-07,0.0009713453132588,0.0717997001081005,0.0004788138321903,28.209184,28.564921,36892.0,35487.0
1045,2.994,0.0808,42,0.901,7.265,8.604,3,24,25,3,78,4,53,34,29,2,17,13,2,56,4,30,26,17,2.422,0.5720000000000001,2750,Avenida Santa Eugenia - Puentelarra,40.3824,-3.6104,316,2.559388640780831e-06,0.0014570179698882,0.0768197589822034,0.0011042715919621,28.39387,28.629027,35979.0,34989.0
1046,2.905,0.2247,40,0.894,7.004,8.332,3,24,25,3,72,5,51,34,29,1,18,15,2,52,3,34,22,21,2.092,0.8129999999999997,2751,Santa Eugenia,40.38406,-3.61285,322,7.259493572717426e-06,0.0014570179698882,0.0830108047089179,0.0020217268561061,28.59944,28.615414,35161.0,34940.0
1048,4.452,0.4435,59,1.774,5.731,6.614,2,24,29,3,161,9,45,29,32,1,9,22,3,120,4,28,14,21,2.951,1.501,2752,José Prat - Indalecio Prieto,40.39743,-3.62332,517,5.417387863396472e-05,0.0038853812530354,0.0916332888295505,0.0081706034865812,29.14663,29.463902,41644.0,35640.0
1049,5.575,0.5603,76,1.988,1.317,3.916,106,124,162,11,68,54,1654,47,244,86,86,153,3,30,51,1578,28,179,3.424,2.151,2753,Carrera De San Jerónimo - Cedaceros,40.41657,-3.69924,1832,0.0233970469229955,0.0053423992229237,0.1375877046441697,0.172619413796366,40.178503,40.250626,39153.0,52028.0
1051,4.723,0.3211,60,3.803,6.817,8.616,2,24,33,1,114,10,70,39,39,2,23,22,1,87,8,53,36,30,3.06,1.6629999999999998,2754,Montes De Barbanza,40.37784,-3.61908,343,2.230746475263872e-05,0.0009713453132588,0.0897911124678383,0.0161815871176694,28.939112,28.92354,30544.0,30923.0
1052,5.407,0.4034,85,2.347,4.249,5.368,1,60,50,2,231,16,81,56,83,1,38,26,0,128,10,40,36,55,3.157,2.25,2755,Hacienda De Pavones 204,40.40242,-3.63997,1549,2.9171228338667167e-05,0.0009713453132588,0.0918048867487069,0.0005257984391302,29.07259,29.192682,35111.0,35705.0
1053,5.296,0.5649,90,2.455,4.257,5.356,1,58,47,1,222,17,67,57,78,1,38,26,0,127,11,40,36,55,3.16,2.136,2756,Hacienda De Pavones 155,40.4026,-3.63985,1549,2.9171228338667167e-05,0.0009713453132588,0.0918048867487069,0.0005257984391302,29.06398,29.314045,35147.0,36204.0
1054,6.426,0.2923,95,2.437,4.62,5.65,4,60,51,2,240,19,91,61,80,1,32,21,1,165,8,28,32,26,3.529,2.897,2757,Fuente Carrantona - Hacienda De Pavones,40.40139,-3.63573,1520,5.795410546677839e-05,0.0019426906265177,0.0917926084436717,0.0026607122850938,29.205864,29.183544,36134.0,35607.0
1055,5.488,0.4103,90,1.762,4.594,5.637,2,57,48,2,224,17,82,54,80,1,33,20,1,165,8,30,32,28,3.486,2.002,2758,Fuente Carrantona - Hacienda De Pavones,40.40138,-3.63605,1520,5.795410546677839e-05,0.0019426906265177,0.0917926084436717,0.0026607122850938,29.163848,29.248759,36041.0,34671.0
