,stop_id,walk15_gini,multimodal_gini,income_walk,income_multimodal
1370,2385,35.686435,35.634975,46225.0,46008.0
1371,2386,34.91496,35.481482,42094.0,46208.0
1372,2388,36.543405,37.00788,69405.0,69726.0
1373,2389,34.207492,35.441752,54648.0,55232.0
1374,239,33.165896,32.337193,35161.0,35295.0
1375,2390,34.419616,35.242843,53564.0,49879.0
1376,2391,34.404595,35.171937,53884.0,54717.0
1377,2392,34.675899,34.951018,51475.0,48916.0
1378,2393,34.467189,35.175673,52627.0,51271.0
1379,2394,35.110763,34.908044,49593.0,51322.0
1380,2395,35.101332,34.835571,49729.0,50239.0
1381,2396,34.405937,34.377126,38135.0,36454.0
1382,2397,34.471731,34.183425,38399.0,38651.0
1383,2398,34.04973,34.347079,35556.0,35436.0
1384,2399,33.956346,34.016854,35779.0,37260.0
1385,24,29.263338,30.556977,39530.0,41732.0
1386,240,32.587927,31.667366,32654.0,33114.0
1387,2400,34.150411,34.39017,35131.0,36820.0
1388,2401,34.100012,34.39017,35166.0,36820.0
1389,2402,33.810561,34.057277,34588.0,35279.0
1390,2403,33.807294,34.380277,34471.0,34332.0
1391,2405,33.06418,31.111358,50481.0,45944.0
1392,2406,32.162361,33.035092,48040.0,42362.0
1393,2407,32.259506,31.69859,51234.0,48131.0
1394,2408,30.876979,32.742469,47678.0,45347.0
1395,2409,31.940967,32.329398,52179.0,49270.0
1396,241,32.590828,32.338455,32663.0,34914.0
1397,2410,31.523052,31.766479,50543.0,49133.0
1398,2411,31.856827,33.729975,52067.0,50507.0
1399,2412,31.166765,33.712777,49359.0,50455.0
1400,2413,32.356562,30.734318,57466.0,49428.0
1401,2414,31.849818,33.08545,55443.0,52011.0
1402,2415,30.761326,34.033095,57263.0,54443.0
1403,2416,30.508682,32.484181,57326.0,49681.0
1404,2417,34.642744,36.030531,58727.0,55248.0
1405,2418,34.707925,33.819351,59610.0,52280.0
1406,2419,36.009164,36.097195,55166.0,53179.0
1407,242,31.88917,31.278124,30901.0,31416.0
1408,2420,34.304612,33.636796,38900.0,41551.0
1409,2421,33.10333,32.843377,38243.0,40245.0
1410,2423,33.808251,33.520012,29638.0,31013.0
1411,2424,33.975294,33.911702,28215.0,28450.0
1412,2425,33.97331,33.235127,28212.0,31922.0
1413,2426,33.880502,33.393114,27715.0,28683.0
1414,2427,33.884371,33.589531,27736.0,30939.0
1415,2428,33.716365,33.308873,27946.0,28585.0
1416,2429,33.704822,33.034634,27983.0,28474.0
1417,243,31.783278,31.788085,30803.0,33539.0
1418,2430,33.481311,33.466873,28056.0,28555.0
1419,2431,33.516524,33.377986,27850.0,28859.0
1420,2434,33.18514,33.156957,28391.0,28210.0
1421,2436,33.09422,33.187792,28622.0,28192.0
1422,2437,33.090357,33.431337,28499.0,28022.0
1423,2438,33.018716,32.989806,28465.0,28488.0
1424,2439,32.665211,32.968975,28736.0,28670.0
1425,244,30.65984,30.771178,29719.0,31009.0
1426,2440,32.721032,33.106213,28702.0,28321.0
1427,2441,32.713529,32.75506,28570.0,29164.0
