"12f7 -- 9. All data groups, 2010-2023"

"Postal code area","Information","2020"
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","X coordinate",384979
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Y coordinate",6672361
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Surface area",2353278
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Inhabitants, total (HE)",18373
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Males (HE)",8684
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Females (HE)",9689
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Average age of inhabitants (HE)",42
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","0-2 years (HE)",390
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","3-6 years (HE)",466
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","7-12 years (HE)",709
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","13-15 years (HE)",348
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","16-17 years (HE)",224
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","18-19 years (HE)",294
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","20-24 years (HE)",1587
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","25-29 years (HE)",2382
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","30-34 years (HE)",1872
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","35-39 years (HE)",1433
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","40-44 years (HE)",1278
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","45-49 years (HE)",1060
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","50-54 years (HE)",1109
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","55-59 years (HE)",1081
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","60-64 years (HE)",880
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","65-69 years (HE)",778
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","70-74 years (HE)",944
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","75-79 years (HE)",808
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","80-84 years (HE)",391
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","85 years or over (HE)",339
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Aged 18 or over, total (KO)",16236
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Basic level studies (KO)",1776
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","With education, total (KO)",14460
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Matriculation examination (KO)",2621
