"12f7 -- 9. All data groups, 2010-2023"

"Postal code area","Information","2022"
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","X coordinate",384979
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Y coordinate",6672361
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Surface area",2353278
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Inhabitants, total (HE)",18030
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Males (HE)",8492
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Females (HE)",9538
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Average age of inhabitants (HE)",42
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","0-2 years (HE)",352
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","3-6 years (HE)",372
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","7-12 years (HE)",709
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","13-15 years (HE)",359
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","16-17 years (HE)",241
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","18-19 years (HE)",318
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","20-24 years (HE)",1778
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","25-29 years (HE)",2212
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","30-34 years (HE)",1688
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","35-39 years (HE)",1294
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","40-44 years (HE)",1129
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","45-49 years (HE)",1172
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","50-54 years (HE)",1074
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","55-59 years (HE)",1077
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","60-64 years (HE)",944
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","65-69 years (HE)",768
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","70-74 years (HE)",794
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","75-79 years (HE)",913
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","80-84 years (HE)",498
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","85 years or over (HE)",338
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Aged 18 or over, total (KO)",15997
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Basic level studies (KO)",1854
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","With education, total (KO)",14143
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Matriculation examination (KO)",2663
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Vocational diploma (KO)",1690
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Academic degree - Lowest level tertiary and lower university level degrees (KO)",3813
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Academic degree - Higher university level degree (KO)",5977
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Aged 18 or over, total (HR)",15997
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Average income of inhabitants (HR)",45302
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Median income of inhabitants (HR)",31186
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Inhabitants belonging to the lowest income category (HR)",2794
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Inhabitants belonging to the middle income category (HR)",6556
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Inhabitants belonging to the highest income category (HR)",6647
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Accumulated purchasing power of inhabitants (HR)",724691341
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Households, total (TE)",10280
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Average size of households (TE)",1.7
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Average floor area per person (TE)",39.7
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","One-person households (TE)",5447
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Young one-person households (TE)",2330
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Young couples without children (TE)",816
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Households with children (TE)",1296
"00100  Helsinki keskusta - Etu-Töölö (Helsinki)","Households with small children (TE)",328
